학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003506,부산대학교사범대학부설고등학교,1972,남여공학,주간,부산광역시,고등학교,국립
A000003522,부산기계공업고등학교,1967,남,주간,부산광역시,고등학교,국립
A000003529,부산교육대학교부설초등학교,1960,남여공학,주간,부산광역시,초등학교,국립
A000003543,부산해사고등학교,1977,남여공학,주간,부산광역시,고등학교,국립
A000003549,한국과학영재학교,2009,남여공학,주간,부산광역시,고등학교,국립
A000005729,가야고등학교,1954,남여공학,주간,부산광역시,고등학교,사립
A000005730,개금고등학교,1988,남,주간,부산광역시,고등학교,공립
A000005731,건국고등학교,1949,남,주간,부산광역시,고등학교,사립
A000005732,경남고등학교,1942,남,주간,부산광역시,고등학교,공립
A000005733,경남공업고등학교,1944,남여공학,주간,부산광역시,고등학교,공립
A000005734,부경고등학교,1945,남여공학,주간,부산광역시,고등학교,공립
A000005735,경남여자고등학교,1927,여,주간,부산광역시,고등학교,공립
A000005737,경성전자고등학교,1952,남여공학,주간,부산광역시,고등학교,사립
A000005738,경원고등학교,1987,남여공학,주간,부산광역시,고등학교,사립
A000005739,경일고등학교,1986,남여공학,주간,부산광역시,고등학교,사립
A000005740,경혜여자고등학교,1986,여,주간,부산광역시,고등학교,사립
A000005742,계성여자고등학교,1952,여,주간,부산광역시,고등학교,사립
A000005743,광명고등학교,1973,남,주간,부산광역시,고등학교,사립
A000005744,구덕고등학교,1984,남,주간,부산광역시,고등학교,공립
A000005745,금성고등학교,1954,남,주간,부산광역시,고등학교,사립
A000005746,금정고등학교,1986,남,주간,부산광역시,고등학교,공립
A000005747,금정여자고등학교,1983,여,주간,부산광역시,고등학교,공립
A000005748,금정전자고등학교,1973,남여공학,주간,부산광역시,고등학교,사립
A000005749,기장고등학교,1966,남여공학,주간,부산광역시,고등학교,공립
A000005750,낙동고등학교,1974,남여공학,주간,부산광역시,고등학교,공립
A000005751,남산고등학교,1988,남여공학,주간,부산광역시,고등학교,공립
A000005752,남성여자고등학교,1941,여,주간,부산광역시,고등학교,사립
A000005753,내성고등학교,1981,남,주간,부산광역시,고등학교,공립
A000005754,다대고등학교,1995,남여공학,주간,부산광역시,고등학교,공립
A000005755,대광고등학교,1989,남여공학,주간,부산광역시,고등학교,사립
A000005756,대덕여자고등학교,1988,여,주간,부산광역시,고등학교,사립
A000005757,대동고등학교,1964,남,주간,부산광역시,고등학교,사립
A000005758,대명여자고등학교,1985,여,주간,부산광역시,고등학교,사립
A000005759,대양고등학교,1954,남여공학,주간,부산광역시,고등학교,사립
A000005760,대연고등학교,1988,남,주간,부산광역시,고등학교,사립
A000005761,세연고등학교,1975,남여공학,주간,부산광역시,고등학교,사립
A000005762,대진전자통신고등학교,1995,남여공학,주간,부산광역시,고등학교,사립
A000005763,부산마케팅고등학교,1955,여,주간,부산광역시,고등학교,사립
A000005764,덕문고등학교,1974,남여공학,주간,부산광역시,고등학교,공립
A000005765,덕문여자고등학교,1986,여,주간,부산광역시,고등학교,사립
A000005766,데레사여자고등학교,1954,여,주간,부산광역시,고등학교,사립
A000005767,동래고등학교,1898,남,주간,부산광역시,고등학교,공립
A000005769,동래여자고등학교,1895,여,주간,부산광역시,고등학교,사립
A000005770,동래원예고등학교,1973,남여공학,주간,부산광역시,고등학교,공립
A000005771,삼정고등학교,1972,여,주간,부산광역시,고등학교,사립
A000005772,동명공업고등학교,1977,남여공학,주간,부산광역시,고등학교,사립
A000005773,동아고등학교,1951,남,주간,부산광역시,고등학교,사립
A000005774,동아공업고등학교,1963,남여공학,주간,부산광역시,고등학교,사립
A000005775,동의공업고등학교,1966,남,주간,부산광역시,고등학교,사립
A000005776,동인고등학교,1974,남,주간,부산광역시,고등학교,사립
A000005777,동주여자고등학교,1919,여,주간,부산광역시,고등학교,사립
A000005778,동천고등학교,1980,남,주간,부산광역시,고등학교,사립
A000005779,세정고등학교,1973,남여공학,주간,부산광역시,고등학교,사립
A000005780,만덕고등학교,1999,남여공학,주간,부산광역시,고등학교,공립
A000005781,문현여자고등학교,1983,여,주간,부산광역시,고등학교,공립
A000005782,배정고등학교,1952,남,주간,부산광역시,고등학교,사립
A000005783,부산강서고등학교,1979,남여공학,주간,부산광역시,고등학교,공립
A000005785,부산고등학교,1913,남,주간,부산광역시,고등학교,공립
A000005786,부산공업고등학교,1924,남여공학,주간,부산광역시,고등학교,공립
A000005787,부산국제고등학교,1998,남여공학,주간,부산광역시,고등학교,공립
A000005789,부산남고등학교,1955,남,주간,부산광역시,고등학교,공립
A000005790,부산남일고등학교,1984,남,주간,부산광역시,고등학교,공립
A000005791,부산대저고등학교,1984,남,주간,부산광역시,고등학교,사립
A000005792,부산동고등학교,1953,남,주간,부산광역시,고등학교,사립
A000005793,부산동성고등학교,1952,남,주간,부산광역시,고등학교,사립
A000005794,부산동여자고등학교,1967,여,주간,부산광역시,고등학교,공립
A000005795,한국조형예술고등학교,1973,남여공학,주간,부산광역시,고등학교,공립
A000005796,부산디지털고등학교,1954,남여공학,주간,부산광역시,고등학교,사립
A000005798,부산소프트웨어마이스터고등학교,1970,남여공학,주간,부산광역시,고등학교,공립
A000005800,개성고등학교,1895,남여공학,주간,부산광역시,고등학교,공립
A000005801,부산서여자고등학교,1983,여,주간,부산광역시,고등학교,공립
A000005802,부산여자고등학교,1945,여,주간,부산광역시,고등학교,공립
A000005803,부산여자상업고등학교,1953,여,주간,부산광역시,고등학교,사립
A000005804,부산영상예술고등학교,1954,남여공학,주간,부산광역시,고등학교,공립
A000005805,부산예술고등학교,1985,남여공학,주간,부산광역시,고등학교,사립
A000005806,부산외국어고등학교,1985,남여공학,주간,부산광역시,고등학교,사립
A000005807,부산자동차고등학교,1994,남,주간,부산광역시,고등학교,공립
A000005808,부산장안고등학교,1974,남여공학,주간,부산광역시,고등학교,공립
A000005809,부산전자공업고등학교,1938,남여공학,주간,부산광역시,고등학교,공립
A000005810,부산정보고등학교,1950,남여공학,주간,부산광역시,고등학교,사립
A000005811,배정미래고등학교,1973,남여공학,주간,부산광역시,고등학교,사립
A000005812,부산정보관광고등학교,1972,남여공학,주간,부산광역시,고등학교,사립
A000005813,부산관광고등학교,1966,남여공학,주간,부산광역시,고등학교,사립
A000005814,부산백양고등학교,1955,남여공학,주간,부산광역시,고등학교,공립
A000005817,부산중앙고등학교,1972,남,주간,부산광역시,고등학교,공립
A000005818,부산중앙여자고등학교,1972,여,주간,부산광역시,고등학교,공립
A000005819,부산진고등학교,1967,남,주간,부산광역시,고등학교,공립
A000005820,부산진여자고등학교,1972,여,주간,부산광역시,고등학교,사립
A000005821,부산진여자상업고등학교,1954,여,주간,부산광역시,고등학교,공립
A000005822,부산체육고등학교,1975,남여공학,주간,부산광역시,고등학교,공립
A000005823,부산컴퓨터과학고등학교,1965,남여공학,주간,부산광역시,고등학교,사립
A000005824,한얼고등학교,1974,남여공학,주간,부산광역시,고등학교,사립
A000005825,부일외국어고등학교,1994,남여공학,주간,부산광역시,고등학교,사립
A000005826,부일전자디자인고등학교,1992,남여공학,주간,부산광역시,고등학교,사립
A000005827,부흥고등학교,1997,남여공학,주간,부산광역시,고등학교,공립
A000005828,브니엘고등학교,1963,남,주간,부산광역시,고등학교,사립
A000005829,브니엘여자고등학교,1996,여,주간,부산광역시,고등학교,사립
A000005830,브니엘예술고등학교,1998,남여공학,주간,부산광역시,고등학교,사립
A000005831,사직고등학교,1983,남여공학,주간,부산광역시,고등학교,공립
A000005832,사직여자고등학교,1986,여,주간,부산광역시,고등학교,사립
A000005833,삼성여자고등학교,1954,여,주간,부산광역시,고등학교,사립
A000005834,서부산공업고등학교,1996,남여공학,주간,부산광역시,고등학교,공립
A000005835,성도고등학교,1978,남,주간,부산광역시,고등학교,사립
A000005836,성모여자고등학교,1964,여,주간,부산광역시,고등학교,사립
A000005837,영산고등학교,1973,남여공학,주간,부산광역시,고등학교,사립
A000005838,성일여자고등학교,1986,여,주간,부산광역시,고등학교,사립
A000005839,성지고등학교,1960,남여공학,주간,부산광역시,고등학교,사립
A000005840,신도고등학교,1997,남여공학,주간,부산광역시,고등학교,공립
A000005841,양운고등학교,1997,남여공학,주간,부산광역시,고등학교,공립
A000005842,양정고등학교,1987,남,주간,부산광역시,고등학교,사립
A000005843,영도여자고등학교,1975,여,주간,부산광역시,고등학교,공립
A000005844,예문여자고등학교,1989,여,주간,부산광역시,고등학교,사립
A000005846,용인고등학교,1982,남,주간,부산광역시,고등학교,사립
A000005847,이사벨고등학교,1964,남여공학,주간,부산광역시,고등학교,사립
A000005848,장안제일고등학교,1988,남여공학,주간,부산광역시,고등학교,사립
A000005849,주례여자고등학교,1981,여,주간,부산광역시,고등학교,공립
A000005850,지산고등학교,1989,남,주간,부산광역시,고등학교,사립
A000005851,충렬고등학교,1984,남,주간,부산광역시,고등학교,공립
A000005852,학산여자고등학교,1984,여,주간,부산광역시,고등학교,사립
