학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003496,공주대학교사범대학부설고등학교,1953,남여공학,주간,충청남도,고등학교,국립
A000003499,공주교육대학교부설초등학교,1951,남여공학,주간,충청남도,초등학교,국립
A000003501,공주대학교사범대학부설중학교,1953,남여공학,주간,충청남도,중학교,국립
A000003515,청주교육대학교부설초등학교,1941,남여공학,주간,충청북도,초등학교,국립
A000003516,한국교원대학교부설고등학교,1990,남여공학,주간,충청북도,고등학교,국립
A000003517,한국교원대학교부설미호중학교,1955,남여공학,주간,충청북도,중학교,국립
A000003518,한국교원대학교부설월곡초등학교,1943,남여공학,주간,충청북도,초등학교,국립
A000003538,충북대학교사범대학부설고등학교,1986,남여공학,주간,충청북도,고등학교,국립
A000003539,충북대학교사범대학부설중학교,1983,남여공학,주간,충청북도,중학교,국립
A000015923,광혜원고등학교,1956,남여공학,주간,충청북도,고등학교,공립
A000015924,괴산고등학교,1946,남여공학,주간,충청북도,고등학교,공립
A000015925,충북반도체고등학교,1968,남여공학,주간,충청북도,고등학교,공립
A000015926,금천고등학교,1988,남여공학,주간,충청북도,고등학교,공립
A000015927,단양고등학교,1968,남여공학,주간,충청북도,고등학교,공립
A000015928,한국호텔관광고등학교,1945,남여공학,주간,충청북도,고등학교,공립
A000015929,대성여자상업고등학교,1960,여,주간,충청북도,고등학교,사립
A000015930,충주대원고등학교,1980,남,주간,충청북도,고등학교,사립
A000015931,매괴고등학교,1954,남여공학,주간,충청북도,고등학교,사립
A000015932,충북에너지고등학교,1974,남여공학,주간,충청북도,고등학교,공립
A000015933,보은고등학교,1976,남여공학,주간,충청북도,고등학교,사립
A000015934,보은여자고등학교,1961,여,주간,충청북도,고등학교,공립
A000015935,충북생명산업고등학교,1944,남여공학,주간,충청북도,고등학교,공립
A000015936,보은정보고등학교,1979,남여공학,주간,충청북도,고등학교,공립
A000015937,상당고등학교,1996,남여공학,주간,충청북도,고등학교,공립
A000015938,세광고등학교,1953,남,주간,충청북도,고등학교,사립
A000015939,세명고등학교,1987,남여공학,주간,충청북도,고등학교,사립
A000015940,청주신흥고등학교,1977,남,주간,충청북도,고등학교,사립
A000015941,양업고등학교,1998,남여공학,주간,충청북도,고등학교,사립
A000015942,영동고등학교,1951,남여공학,주간,충청북도,고등학교,공립
A000015943,영동산업과학고등학교,1936,남여공학,주간,충청북도,고등학교,공립
A000015944,영동미래고등학교,1954,남여공학,주간,충청북도,고등학교,사립
A000015945,오창고등학교,1996,남여공학,주간,충청북도,고등학교,공립
A000015946,옥천고등학교,1978,남여공학,주간,충청북도,고등학교,공립
A000015947,충북산업과학고등학교,1954,남여공학,주간,충청북도,고등학교,공립
A000015948,운호고등학교,1968,남,주간,충청북도,고등학교,사립
A000015949,음성고등학교,1951,남여공학,주간,충청북도,고등학교,공립
A000015950,제천산업고등학교,1979,남여공학,주간,충청북도,고등학교,공립
A000015951,일신여자고등학교,1967,여,주간,충청북도,고등학교,사립
A000015952,제천고등학교,1946,남,주간,충청북도,고등학교,공립
A000015953,제천디지털전자고등학교,1979,남여공학,주간,충청북도,고등학교,공립
A000015954,제천제일고등학교,1943,남여공학,주간,충청북도,고등학교,공립
A000015955,제천상업고등학교,1983,남여공학,주간,충청북도,고등학교,공립
A000015956,제천여자고등학교,1942,여,주간,충청북도,고등학교,공립
A000015957,충주중산고등학교,1991,남여공학,주간,충청북도,고등학교,사립
A000015958,증평공업고등학교,1951,남여공학,주간,충청북도,고등학교,공립
A000015959,충북비즈니스고등학교,1974,남여공학,주간,충청북도,고등학교,공립
A000015960,진천고등학교,1976,남여공학,주간,충청북도,고등학교,공립
A000015961,한국바이오마이스터고등학교,1945,남여공학,주간,충청북도,고등학교,공립
A000015962,진천상업고등학교,1964,남여공학,주간,충청북도,고등학교,공립
A000015963,청산고등학교,1955,남여공학,주간,충청북도,고등학교,공립
A000015964,청석고등학교,1974,남,주간,충청북도,고등학교,사립
A000015965,청주고등학교,1924,남,주간,충청북도,고등학교,공립
A000015967,청주공업고등학교,1946,남,주간,충청북도,고등학교,공립
A000015968,청주농업고등학교,1911,남여공학,주간,충청북도,고등학교,공립
A000015969,청주대성고등학교,1935,남여공학,주간,충청북도,고등학교,사립
A000015970,청주여자고등학교,1938,여,주간,충청북도,고등학교,공립
A000015971,청주여자상업고등학교,1958,여,주간,충청북도,고등학교,사립
A000015972,청주외국어고등학교,1992,남여공학,주간,충청북도,고등학교,공립
A000015973,청주중앙여자고등학교,1974,여,주간,충청북도,고등학교,공립
A000015974,충북고등학교,1973,남,주간,충청북도,고등학교,공립
A000015975,충북공업고등학교,1995,남여공학,주간,충청북도,고등학교,공립
A000015976,충북과학고등학교,1988,남여공학,주간,충청북도,고등학교,공립
A000015977,충북여자고등학교,1974,여,주간,충청북도,고등학교,사립
A000015978,충북예술고등학교,1993,남여공학,주간,충청북도,고등학교,공립
A000015979,충북상업정보고등학교,1983,남여공학,주간,충청북도,고등학교,공립
A000015980,청주하이텍고등학교,1996,남여공학,주간,충청북도,고등학교,공립
A000015981,충북체육고등학교,1991,남여공학,주간,충청북도,고등학교,공립
A000015982,충원고등학교,1956,남여공학,주간,충청북도,고등학교,사립
A000015983,충주고등학교,1940,남,주간,충청북도,고등학교,공립
A000015985,충주공업고등학교,1980,남여공학,주간,충청북도,고등학교,공립
A000015986,국원고등학교,1929,남여공학,주간,충청북도,고등학교,공립
A000015987,충주상업고등학교,1968,남여공학,주간,충청북도,고등학교,사립
A000015988,충주여자고등학교,1942,여,주간,충청북도,고등학교,공립
A000015989,한림디자인고등학교,1962,여,주간,충청북도,고등학교,사립
A000015990,충주예성여자고등학교,1982,여,주간,충청북도,고등학교,공립
A000015991,학산고등학교,1955,남여공학,주간,충청북도,고등학교,공립
A000015992,청주IT과학고등학교,1992,남여공학,주간,충청북도,고등학교,사립
A000015993,형석고등학교,1979,남여공학,주간,충청북도,고등학교,사립
A000015994,황간고등학교,1974,남여공학,주간,충청북도,고등학교,공립
A000015995,괴산북중학교,1959,여,주간,충청북도,중학교,공립
A000015996,괴산중학교,1946,남,주간,충청북도,중학교,공립
A000015997,송면중학교,1971,남여공학,주간,충청북도,중학교,공립
A000015998,연풍중학교,1954,남여공학,주간,충청북도,중학교,공립
A000015999,증평여자중학교,1968,여,주간,충청북도,중학교,공립
A000016000,증평중학교,1946,남여공학,주간,충청북도,중학교,공립
A000016001,청안중학교,1955,남여공학,주간,충청북도,중학교,사립
A000016002,청천중학교,1963,남여공학,주간,충청북도,중학교,공립
A000016003,칠성중학교,1971,남여공학,주간,충청북도,중학교,공립
A000016004,형석중학교,1969,남,주간,충청북도,중학교,사립
A000016005,감물초등학교,1933,남여공학,주간,충청북도,초등학교,공립
A000016006,괴산명덕초등학교,1911,남여공학,주간,충청북도,초등학교,공립
A000016007,도안초등학교,1925,남여공학,주간,충청북도,초등학교,공립
A000016008,동인초등학교,1962,남여공학,주간,충청북도,초등학교,공립
A000016009,목도초등학교,1919,남여공학,주간,충청북도,초등학교,공립
A000016010,문광초등학교,1936,남여공학,주간,충청북도,초등학교,공립
A000016011,백봉초등학교,1943,남여공학,주간,충청북도,초등학교,공립
A000016012,보광초등학교,1936,남여공학,주간,충청북도,초등학교,공립
A000016013,삼보초등학교,1959,남여공학,주간,충청북도,초등학교,공립
A000016014,소수초등학교,1931,남여공학,주간,충청북도,초등학교,공립
A000016015,송면초등학교,1944,남여공학,주간,충청북도,초등학교,공립
A000016016,연풍초등학교,1912,남여공학,주간,충청북도,초등학교,공립
A000016017,장연초등학교,1936,남여공학,주간,충청북도,초등학교,공립
A000016018,죽리초등학교,1939,남여공학,주간,충청북도,초등학교,공립
A000016019,증평초등학교,1930,남여공학,주간,충청북도,초등학교,공립
A000016020,청안초등학교,1911,남여공학,주간,충청북도,초등학교,공립
A000016021,청천초등학교,1921,남여공학,주간,충청북도,초등학교,공립
A000016022,칠성초등학교,1929,남여공학,주간,충청북도,초등학교,공립
A000016023,단성중학교,1969,남여공학,주간,충청북도,중학교,공립
A000016024,단양중학교,1945,남여공학,주간,충청북도,중학교,공립
A000016025,매포중학교,1969,남여공학,주간,충청북도,중학교,공립
A000016026,영춘중학교,1964,남여공학,주간,충청북도,중학교,공립
A000016027,가곡초등학교,1934,남여공학,주간,충청북도,초등학교,공립
A000016028,가곡초등학교대곡분교장,1954,남여공학,주간,충청북도,초등학교,공립
A000016029,가곡초등학교보발분교장,1945,남여공학,주간,충청북도,초등학교,공립
A000016030,가평초등학교,1946,남여공학,주간,충청북도,초등학교,공립
A000016031,단양초등학교,1909,남여공학,주간,충청북도,초등학교,공립
A000016032,단천초등학교,1966,남여공학,주간,충청북도,초등학교,공립
A000016033,대가초등학교,1941,남여공학,주간,충청북도,초등학교,공립
A000016034,대강초등학교,1929,남여공학,주간,충청북도,초등학교,공립
A000016035,매포초등학교,1923,남여공학,주간,충청북도,초등학교,공립
A000016036,상진초등학교,1988,남여공학,주간,충청북도,초등학교,공립
A000016037,어상천초등학교,1932,남여공학,주간,충청북도,초등학교,공립
A000016038,영춘초등학교,1906,남여공학,주간,충청북도,초등학교,공립
A000016039,보덕중학교,1953,남여공학,주간,충청북도,중학교,공립
A000016040,보은여자중학교,1961,여,주간,충청북도,중학교,공립
A000016041,보은중학교,1951,남,주간,충청북도,중학교,공립
A000016042,속리산중학교,1969,남여공학,주간,충청북도,중학교,공립
A000016043,회인중학교,1964,남여공학,주간,충청북도,중학교,공립
A000016044,관기초등학교,1920,남여공학,주간,충청북도,초등학교,공립
A000016045,내북초등학교,1932,남여공학,주간,충청북도,초등학교,공립
A000016046,동광초등학교,1966,남여공학,주간,충청북도,초등학교,공립
A000016047,산외초등학교,1926,남여공학,주간,충청북도,초등학교,공립
A000016048,보은삼산초등학교,1909,남여공학,주간,충청북도,초등학교,공립
A000016049,세중초등학교,1935,남여공학,주간,충청북도,초등학교,공립
A000016050,속리초등학교,1930,남여공학,주간,충청북도,초등학교,공립
A000016051,수정초등학교,1970,남여공학,주간,충청북도,초등학교,공립
A000016052,수한초등학교,1935,남여공학,주간,충청북도,초등학교,공립
A000016053,종곡초등학교,1946,남여공학,주간,충청북도,초등학교,공립
A000016054,탄부초등학교,1935,남여공학,주간,충청북도,초등학교,공립
A000016055,판동초등학교,1965,남여공학,주간,충청북도,초등학교,공립
A000016056,회남초등학교,1934,남여공학,주간,충청북도,초등학교,공립
A000016057,회인초등학교,1906,남여공학,주간,충청북도,초등학교,공립
A000016058,심천중학교,1964,남여공학,주간,충청북도,중학교,사립
A000016059,영동중학교,1946,남여공학,주간,충청북도,중학교,공립
A000016060,영신중학교,1958,남여공학,주간,충청북도,중학교,사립
A000016061,정수중학교,1970,남여공학,주간,충청북도,중학교,사립
A000016062,추풍령중학교,1954,남여공학,주간,충청북도,중학교,사립
A000016063,학산중학교,1952,남여공학,주간,충청북도,중학교,공립
A000016064,매곡초등학교,1935,남여공학,주간,충청북도,초등학교,공립
A000016065,부용초등학교,1964,남여공학,주간,충청북도,초등학교,공립
A000016066,상촌초등학교,1923,남여공학,주간,충청북도,초등학교,공립
A000016067,심천초등학교,1939,남여공학,주간,충청북도,초등학교,공립
A000016068,양강초등학교,1930,남여공학,주간,충청북도,초등학교,공립
A000016069,양산초등학교,1910,남여공학,주간,충청북도,초등학교,공립
A000016070,구룡초등학교,1945,남여공학,주간,충청북도,초등학교,공립
A000016071,영동초등학교,1908,남여공학,주간,충청북도,초등학교,공립
A000016072,용화초등학교,1935,남여공학,주간,충청북도,초등학교,공립
A000016073,이수초등학교,1946,남여공학,주간,충청북도,초등학교,공립
A000016074,추풍령초등학교,1923,남여공학,주간,충청북도,초등학교,공립
A000016075,학산초등학교,1932,남여공학,주간,충청북도,초등학교,공립
A000016076,황간초등학교,1906,남여공학,주간,충청북도,초등학교,공립
A000016077,안내중학교,1952,남여공학,주간,충청북도,중학교,공립
A000016078,옥천여자중학교,1944,여,주간,충청북도,중학교,공립
A000016079,옥천중학교,1951,남,주간,충청북도,중학교,공립
A000016080,이원중학교,1946,남여공학,주간,충청북도,중학교,공립
A000016081,청산중학교,1946,남여공학,주간,충청북도,중학교,공립
A000016082,군남초등학교,1964,남여공학,주간,충청북도,초등학교,공립
A000016083,군서초등학교,1909,남여공학,주간,충청북도,초등학교,공립
A000016084,동이초등학교,1936,남여공학,주간,충청북도,초등학교,공립
A000016085,동이초등학교우산분교장,1965,남여공학,주간,충청북도,초등학교,공립
A000016086,삼양초등학교,1946,남여공학,주간,충청북도,초등학교,공립
A000016087,안남초등학교,1934,남여공학,주간,충청북도,초등학교,공립
A000016088,안내초등학교,1921,남여공학,주간,충청북도,초등학교,공립
A000016089,이원초등학교,1920,남여공학,주간,충청북도,초등학교,공립
A000016090,죽향초등학교,1909,남여공학,주간,충청북도,초등학교,공립
A000016091,증약초등학교,1939,남여공학,주간,충청북도,초등학교,공립
A000016092,증약초등학교대정분교장,1935,남여공학,주간,충청북도,초등학교,공립
A000016093,청산초등학교,1905,남여공학,주간,충청북도,초등학교,공립
A000016094,청성초등학교,1932,남여공학,주간,충청북도,초등학교,공립
A000016095,감곡중학교,1946,남,주간,충청북도,중학교,공립
A000016096,대소중학교,1974,남여공학,주간,충청북도,중학교,공립
A000016097,매괴여자중학교,1966,여,주간,충청북도,중학교,사립
A000016098,무극중학교,1946,남여공학,주간,충청북도,중학교,공립
A000016099,삼성중학교,1955,남여공학,주간,충청북도,중학교,공립
A000016100,생극중학교,1967,남여공학,주간,충청북도,중학교,사립
A000016101,음성여자중학교,1959,여,주간,충청북도,중학교,공립
