학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000009139,대전생활과학고등학교,1991,남여공학,주간,대전광역시,고등학교,사립
A000009140,계룡디지텍고등학교,1949,남,주간,대전광역시,고등학교,사립
A000009141,남대전고등학교,1973,남,주간,대전광역시,고등학교,사립
A000009142,대덕고등학교,1980,남여공학,주간,대전광역시,고등학교,공립
A000009143,대덕소프트웨어마이스터고등학교,1991,남여공학,주간,대전광역시,고등학교,공립
A000009144,대전대성고등학교,1955,남,주간,대전광역시,고등학교,사립
A000009145,대전대성여자고등학교,1964,여,주간,대전광역시,고등학교,사립
A000009146,대전고등학교,1917,남,주간,대전광역시,고등학교,공립
A000009148,대전도시과학고등학교,1994,남여공학,주간,대전광역시,고등학교,공립
A000009149,대전과학고등학교,1983,남여공학,주간,대전광역시,고등학교,공립
A000009150,대전관저고등학교,1998,남여공학,주간,대전광역시,고등학교,공립
A000009151,대전노은고등학교,2003,남여공학,주간,대전광역시,고등학교,공립
A000009152,대전대신고등학교,1972,남,주간,대전광역시,고등학교,사립
A000009153,대전동산고등학교,1978,남,주간,대전광역시,고등학교,사립
A000009154,동아마이스터고등학교,1977,남,주간,대전광역시,고등학교,사립
A000009155,대전둔산여자고등학교,1997,여,주간,대전광역시,고등학교,공립
A000009156,대전둔원고등학교,2003,남여공학,주간,대전광역시,고등학교,공립
A000009157,대전만년고등학교,1998,남여공학,주간,대전광역시,고등학교,공립
A000009158,대전제일고등학교,1978,남여공학,주간,대전광역시,고등학교,사립
A000009159,대전성모여자고등학교,1968,여,주간,대전광역시,고등학교,사립
A000009160,대전송촌고등학교,1999,남여공학,주간,대전광역시,고등학교,공립
A000009161,대전신일여자고등학교,1978,여,주간,대전광역시,고등학교,사립
A000009162,대전여자고등학교,1937,여,주간,대전광역시,고등학교,공립
A000009164,대전여자상업고등학교,1948,여,주간,대전광역시,고등학교,사립
A000009165,대전국제통상고등학교,1981,남여공학,주간,대전광역시,고등학교,공립
A000009166,대전예술고등학교,1992,남여공학,주간,대전광역시,고등학교,사립
A000009167,대전외국어고등학교,1994,남여공학,주간,대전광역시,고등학교,공립
A000009168,대전전자디자인고등학교,1996,남여공학,주간,대전광역시,고등학교,공립
A000009169,대전중앙고등학교,1948,남,주간,대전광역시,고등학교,사립
A000009170,대전체육고등학교,1972,남여공학,주간,대전광역시,고등학교,공립
A000009171,대전한빛고등학교,1989,남여공학,주간,대전광역시,고등학교,사립
A000009172,동대전고등학교,1982,남여공학,주간,대전광역시,고등학교,공립
A000009173,동방고등학교,1980,남여공학,주간,대전광역시,고등학교,사립
A000009174,대전동신과학고등학교,1991,남여공학,주간,대전광역시,고등학교,공립
A000009175,명석고등학교,1983,남,주간,대전광역시,고등학교,사립
A000009176,보문고등학교,1953,남,주간,대전광역시,고등학교,사립
A000009177,대전이문고등학교,1985,남여공학,주간,대전광역시,고등학교,사립
A000009178,서대전고등학교,1972,남,주간,대전광역시,고등학교,사립
A000009179,서대전여자고등학교,1983,여,주간,대전광역시,고등학교,사립
A000009180,서일고등학교,1982,남,주간,대전광역시,고등학교,사립
A000009181,서일여자고등학교,1987,여,주간,대전광역시,고등학교,사립
A000009182,신탄진고등학교,1981,남여공학,주간,대전광역시,고등학교,공립
A000009183,우송고등학교,1954,남여공학,주간,대전광역시,고등학교,사립
A000009184,유성고등학교,1974,남,주간,대전광역시,고등학교,공립
A000009185,유성생명과학고등학교,1951,남여공학,주간,대전광역시,고등학교,공립
