학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003490,경북대학교사범대학부설고등학교,1946,남여공학,주간,대구광역시,고등학교,국립
A000003491,경북대학교사범대학부설중학교,1946,남여공학,주간,대구광역시,중학교,국립
A000003493,경북대학교사범대학부설초등학교,1937,남여공학,주간,대구광역시,초등학교,국립
A000003505,대구교육대학교대구부설초등학교,1956,남여공학,주간,대구광역시,초등학교,국립
A000006752,강북고등학교,1974,남,주간,대구광역시,고등학교,사립
A000006753,경덕여자고등학교,1983,여,주간,대구광역시,고등학교,공립
A000006754,경명여자고등학교,1966,여,주간,대구광역시,고등학교,사립
A000006755,경북고등학교,1916,남,주간,대구광역시,고등학교,공립
A000006756,경북공업고등학교,1955,남여공학,주간,대구광역시,고등학교,사립
A000006757,경북기계공업고등학교,1978,남,주간,대구광역시,고등학교,공립
A000006758,경북여자고등학교,1926,여,주간,대구광역시,고등학교,공립
A000006759,경북여자상업고등학교,1961,여,주야간,대구광역시,고등학교,사립
A000006760,경북예술고등학교,1964,남여공학,주간,대구광역시,고등학교,사립
A000006761,경상고등학교,1984,남,주간,대구광역시,고등학교,사립
A000006762,경상공업고등학교,1967,남,주간,대구광역시,고등학교,사립
A000006763,경상여자고등학교,1957,여,주간,대구광역시,고등학교,사립
A000006764,경신고등학교,1966,남,주간,대구광역시,고등학교,사립
A000006765,경원고등학교,1975,남,주간,대구광역시,고등학교,사립
A000006766,경일여자고등학교,1980,여,주간,대구광역시,고등학교,사립
A000006767,경화여자고등학교,1979,여,주간,대구광역시,고등학교,사립
A000006768,계성고등학교,1906,남여공학,주간,대구광역시,고등학교,사립
A000006769,대구보건고등학교,1964,여,주간,대구광역시,고등학교,사립
A000006770,구암고등학교,1997,남여공학,주간,대구광역시,고등학교,공립
A000006771,능인고등학교,1939,남,주간,대구광역시,고등학교,사립
A000006772,다사고등학교,1974,남여공학,주간,대구광역시,고등학교,공립
A000006773,달서고등학교,1974,남여공학,주간,대구광역시,고등학교,사립
A000006774,달성고등학교,1972,남,주간,대구광역시,고등학교,공립
A000006775,대구소프트웨어마이스터고등학교,1971,남여공학,주간,대구광역시,고등학교,공립
A000006776,대건고등학교,1949,남,주간,대구광역시,고등학교,사립
A000006777,대구고등학교,1958,남,주간,대구광역시,고등학교,공립
A000006779,대구공업고등학교,1925,남,주간,대구광역시,고등학교,공립
A000006780,대구과학고등학교,1987,남여공학,주간,대구광역시,고등학교,공립
A000006781,대구남산고등학교,1907,남여공학,주간,대구광역시,고등학교,사립
A000006782,대구하이텍고등학교,1991,남여공학,주간,대구광역시,고등학교,공립
A000006783,대구일마이스터고등학교,1992,남여공학,주간,대구광역시,고등학교,공립
A000006784,대구동부고등학교,1987,남여공학,주간,대구광역시,고등학교,사립
A000006785,대구상원고등학교,1923,남여공학,주간,대구광역시,고등학교,공립
A000006786,대구서부고등학교,1997,남여공학,주간,대구광역시,고등학교,공립
A000006787,대구과학기술고등학교,1997,남여공학,주간,대구광역시,고등학교,공립
A000006788,대구여자상업고등학교,1953,여,주야간,대구광역시,고등학교,사립
A000006789,대구여자고등학교,1954,여,주간,대구광역시,고등학교,공립
A000006790,대구외국어고등학교,1997,남여공학,주간,대구광역시,고등학교,공립
A000006791,대구농업마이스터고등학교,1910,남여공학,주간,대구광역시,고등학교,공립
A000006792,대구전자공업고등학교,1990,남여공학,주간,대구광역시,고등학교,공립
A000006793,대구관광고등학교,1977,남여공학,주간,대구광역시,고등학교,사립
A000006794,대구제일고등학교,1968,남여공학,주간,대구광역시,고등학교,사립
A000006795,대구제일여자상업고등학교,1945,여,주간,대구광역시,고등학교,공립
A000006796,대구혜화여자고등학교,1983,여,주간,대구광역시,고등학교,사립
A000006797,대륜고등학교,1921,남,주간,대구광역시,고등학교,사립
A000006798,대중금속공업고등학교,1978,남여공학,주간,대구광역시,고등학교,사립
A000006799,덕원고등학교,1979,남여공학,주간,대구광역시,고등학교,사립
A000006800,대원고등학교,1981,남여공학,주간,대구광역시,고등학교,사립
A000006801,상서고등학교,1962,남여공학,주간,대구광역시,고등학교,사립
A000006802,상인고등학교,2001,남여공학,주간,대구광역시,고등학교,공립
A000006803,성광고등학교,1954,남,주간,대구광역시,고등학교,사립
A000006804,성서고등학교,1999,남여공학,주간,대구광역시,고등학교,공립
A000006805,성화여자고등학교,1980,여,주간,대구광역시,고등학교,사립
A000006806,송현여자고등학교,1979,여,주간,대구광역시,고등학교,사립
A000006807,시지고등학교,1999,남여공학,주간,대구광역시,고등학교,공립
A000006808,신명고등학교,1902,남여공학,주간,대구광역시,고등학교,사립
A000006809,심인고등학교,1957,남,주간,대구광역시,고등학교,사립
A000006810,영남고등학교,1935,남,주간,대구광역시,고등학교,사립
A000006811,영남공업고등학교,1949,남여공학,주간,대구광역시,고등학교,사립
A000006812,영송여자고등학교,1979,여,주간,대구광역시,고등학교,사립
A000006813,영신고등학교,1946,남여공학,주간,대구광역시,고등학교,사립
A000006814,영진고등학교,1972,남,주간,대구광역시,고등학교,사립
A000006815,오성고등학교,1953,남,주간,대구광역시,고등학교,사립
A000006816,와룡고등학교,2000,남여공학,주간,대구광역시,고등학교,공립
A000006817,운암고등학교,2002,남여공학,주간,대구광역시,고등학교,공립
