학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003524,인천해사고등학교,1981,남여공학,주간,인천광역시,고등학교,국립
A000003533,경인교육대학교부설초등학교,1957,남여공학,주간,인천광역시,초등학교,국립
A000007542,가정고등학교,1996,남여공학,주간,인천광역시,고등학교,공립
A000007543,강남영상미디어고등학교,1974,남여공학,주간,인천광역시,고등학교,공립
A000007544,강화고등학교,1945,남,주간,인천광역시,고등학교,공립
A000007545,강화여자고등학교,1955,여,주간,인천광역시,고등학교,공립
A000007546,검단고등학교,2002,여,주간,인천광역시,고등학교,공립
A000007547,인천보건고등학교,1972,여,주간,인천광역시,고등학교,사립
A000007548,계산고등학교,1987,남,주간,인천광역시,고등학교,공립
A000007549,계산공업고등학교,1996,남,주간,인천광역시,고등학교,공립
A000007550,계산여자고등학교,1996,여,주간,인천광역시,고등학교,공립
A000007551,계양고등학교,1997,남,주간,인천광역시,고등학교,공립
A000007552,광성고등학교,1972,남,주간,인천광역시,고등학교,사립
A000007553,교동고등학교,1975,남여공학,주간,인천광역시,고등학교,공립
A000007554,산마을고등학교,2000,남여공학,주간,인천광역시,고등학교,사립
A000007555,대인고등학교,1991,남,주간,인천광역시,고등학교,사립
A000007556,대청고등학교,1979,남여공학,주간,인천광역시,고등학교,공립
A000007557,인천재능고등학교,1954,남,주간,인천광역시,고등학교,사립
A000007558,덕신고등학교,1982,남여공학,주간,인천광역시,고등학교,사립
A000007559,덕적고등학교,1980,남여공학,주간,인천광역시,고등학교,공립
A000007560,동산고등학교,1938,남,주간,인천광역시,고등학교,사립
A000007561,동인천고등학교,1961,남,주간,인천광역시,고등학교,공립
A000007562,명신여자고등학교,1971,여,주간,인천광역시,고등학교,사립
A000007563,인천금융고등학교,1974,여,주간,인천광역시,고등학교,사립
A000007564,문일여자고등학교,1986,여,주간,인천광역시,고등학교,사립
A000007565,문학정보고등학교,1997,남여공학,주간,인천광역시,고등학교,공립
A000007566,백령고등학교,1959,남여공학,주간,인천광역시,고등학교,공립
A000007567,백석고등학교,1997,남여공학,주간,인천광역시,고등학교,공립
A000007568,부개여자고등학교,1996,여,주간,인천광역시,고등학교,공립
A000007569,부광고등학교,1995,남,주간,인천광역시,고등학교,공립
A000007570,부광여자고등학교,1987,여,주간,인천광역시,고등학교,공립
A000007571,부평고등학교,1972,남,주간,인천광역시,고등학교,공립
A000007572,부평공업고등학교,1994,남,주간,인천광역시,고등학교,공립
A000007573,인천세무고등학교,1975,여,주간,인천광역시,고등학교,사립
A000007574,부평여자고등학교,1982,여,주간,인천광역시,고등학교,공립
A000007575,인천미래생활고등학교,1996,여,주간,인천광역시,고등학교,공립
A000007576,한국글로벌셰프고등학교,1973,남,주간,인천광역시,고등학교,사립
