학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003534,제주대학교교육대학부설초등학교,1974,남여공학,주간,제주특별자치도,초등학교,국립
A000003535,제주대학교사범대학부설고등학교,1984,남여공학,주간,제주특별자치도,고등학교,국립
A000003536,제주대학교사범대학부설중학교,1984,남여공학,주간,제주특별자치도,중학교,국립
A000023619,대정고등학교,1952,남,주간,제주특별자치도,고등학교,공립
A000023620,대정여자고등학교,1963,여,주간,제주특별자치도,고등학교,공립
A000023621,서귀포고등학교,1968,남,주간,제주특별자치도,고등학교,공립
A000023622,서귀포여자고등학교,1963,여,주간,제주특별자치도,고등학교,공립
A000023623,세화고등학교,1953,남여공학,주간,제주특별자치도,고등학교,공립
A000023624,제주제일고등학교,1955,남,주간,제주특별자치도,고등학교,공립
A000023625,제주중앙여자고등학교,1979,여,주간,제주특별자치도,고등학교,공립
A000023626,한림고등학교,1963,남여공학,주간,제주특별자치도,고등학교,공립
A000023627,남녕고등학교,1985,남여공학,주간,제주특별자치도,고등학교,사립
A000023628,남주고등학교,1955,남,주간,제주특별자치도,고등학교,사립
A000023629,대기고등학교,1983,남,주간,제주특별자치도,고등학교,사립
A000023630,삼성여자고등학교,1975,여,주간,제주특별자치도,고등학교,사립
A000023631,신성여자고등학교,1909,여,주간,제주특별자치도,고등학교,사립
A000023632,오현고등학교,1951,남,주간,제주특별자치도,고등학교,사립
A000023633,제주여자고등학교,1951,여,주간,제주특별자치도,고등학교,사립
A000023634,애월고등학교,1953,남여공학,주간,제주특별자치도,고등학교,공립
A000023635,제주여자상업고등학교,1966,여,주간,제주특별자치도,고등학교,공립
A000023636,중문고등학교,1965,남여공학,주간,제주특별자치도,고등학교,공립
A000023637,표선고등학교,1954,남여공학,주간,제주특별자치도,고등학교,공립
A000023638,한림공업고등학교,1952,남여공학,주간,제주특별자치도,고등학교,공립
A000023639,함덕고등학교,1953,남여공학,주간,제주특별자치도,고등학교,공립
A000023640,한국뷰티고등학교,1968,남여공학,주간,제주특별자치도,고등학교,공립
A000023641,영주고등학교,1995,남여공학,주간,제주특별자치도,고등학교,사립
A000023642,제주중앙고등학교,1953,남여공학,주간,제주특별자치도,고등학교,사립
A000023644,제주과학고등학교,1999,남여공학,주간,제주특별자치도,고등학교,공립
A000023645,제주고등학교,1907,남여공학,주간,제주특별자치도,고등학교,공립
A000023646,서귀포산업과학고등학교,1936,남여공학,주간,제주특별자치도,고등학교,공립
A000023647,성산고등학교,1949,남여공학,주간,제주특별자치도,고등학교,공립
