학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003504,광주교육대학교목포부설초등학교,1964,남여공학,주간,전라남도,초등학교,국립
A000003511,전북대학교사범대학부설고등학교,1976,남여공학,주간,전라북도,고등학교,국립
A000003512,전주교육대학교군산부설초등학교,1972,남여공학,주간,전라북도,초등학교,국립
A000003513,전주교육대학교전주부설초등학교,1937,남여공학,주간,전라북도,초등학교,국립
A000003525,전북기계공업고등학교,1974,남여공학,주간,전라북도,고등학교,국립
A000017939,강호항공고등학교,1979,남여공학,주간,전라북도,고등학교,사립
A000017940,고산고등학교,1981,남여공학,주간,전라북도,고등학교,공립
A000017941,고창고등학교,1919,남,주간,전라북도,고등학교,공립
A000017942,고창북고등학교,1947,남여공학,주간,전라북도,고등학교,사립
A000017943,고창여자고등학교,1945,여,주간,전라북도,고등학교,사립
A000017944,군산고등학교,1923,남,주간,전라북도,고등학교,공립
A000017945,군산기계공업고등학교,1974,남,주간,전라북도,고등학교,공립
A000017946,한들고등학교,1952,남여공학,주간,전라북도,고등학교,공립
A000017947,군산동고등학교,1962,남,주간,전라북도,고등학교,공립
A000017948,군산상일고등학교,1941,남여공학,주간,전라북도,고등학교,공립
A000017949,군산여자고등학교,1916,여,주간,전라북도,고등학교,공립
A000017950,군산여자상업고등학교,1945,여,주간,전라북도,고등학교,공립
A000017951,군산영광여자고등학교,1965,여,주간,전라북도,고등학교,사립
A000017952,군산제일고등학교,1903,남,주간,전라북도,고등학교,사립
A000017953,군산중앙고등학교,1961,남,주간,전라북도,고등학교,사립
A000017954,군산중앙여자고등학교,1961,여,주간,전라북도,고등학교,사립
A000017955,동국대학교사범대학부속금산고등학교,1955,남여공학,주간,전라북도,고등학교,사립
A000017956,김제고등학교,1951,남여공학,주간,전라북도,고등학교,공립
A000017957,김제서고등학교,1950,남여공학,주간,전라북도,고등학교,사립
A000017958,김제여자고등학교,1941,여,주간,전라북도,고등학교,공립
A000017959,김제농생명마이스터고등학교,1950,남여공학,주간,전라북도,고등학교,공립
A000017960,남성고등학교,1946,남,주간,전라북도,고등학교,사립
A000017961,남원고등학교,1955,남,주간,전라북도,고등학교,공립
A000017962,남원용성고등학교,1936,남여공학,주간,전라북도,고등학교,공립
A000017963,남원서진여자고등학교,1998,여,주간,전라북도,고등학교,사립
A000017964,남원여자고등학교,1955,여,주간,전라북도,고등학교,공립
A000017965,남원제일고등학교,1974,남여공학,주간,전라북도,고등학교,사립
A000017966,남원국악예술고등학교,1980,남여공학,주간,전라북도,고등학교,사립
