학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003504,광주교육대학교목포부설초등학교,1964,남여공학,주간,전라남도,초등학교,국립
A000019102,강진고등학교,1980,남여공학,주간,전라남도,고등학교,공립
A000019103,전남생명과학고등학교,1937,남여공학,주간,전라남도,고등학교,공립
A000019104,고금고등학교,1969,남여공학,주간,전라남도,고등학교,공립
A000019105,고흥고등학교,1974,남여공학,주간,전라남도,고등학교,공립
A000019106,녹동고등학교,1974,남여공학,주간,전라남도,고등학교,공립
A000019107,고흥도화고등학교,1975,남여공학,주간,전라남도,고등학교,공립
A000019108,고흥산업과학고등학교,1951,남여공학,주간,전라남도,고등학교,공립
A000019109,고흥영주고등학교,1967,남여공학,주간,전라남도,고등학교,공립
A000019110,전남조리과학고등학교,1951,남여공학,주간,전라남도,고등학교,공립
A000019111,광남고등학교,1984,남여공학,주간,전라남도,고등학교,사립
A000019112,광양고등학교,1986,남,주간,전라남도,고등학교,공립
A000019113,광양하이텍고등학교,1951,남여공학,주간,전라남도,고등학교,공립
A000019114,광양여자고등학교,1972,여,주간,전라남도,고등학교,공립
A000019115,광양제철고등학교,1985,남여공학,주간,전라남도,고등학교,사립
A000019116,구례고등학교,1972,남여공학,주간,전라남도,고등학교,공립
A000019117,구림공업고등학교,1967,남여공학,주간,전라남도,고등학교,공립
A000019118,금성고등학교,1987,남여공학,주간,전라남도,고등학교,사립
A000019119,나주고등학교,1951,남여공학,주간,전라남도,고등학교,공립
A000019120,나주공업고등학교,1972,남여공학,주간,전라남도,고등학교,사립
A000019121,나주상업고등학교,1966,남여공학,주간,전라남도,고등학교,공립
A000019122,노화고등학교,1980,남여공학,주간,전라남도,고등학교,공립
A000019123,능주고등학교,1967,남여공학,주간,전라남도,고등학교,사립
A000019124,담양고등학교,1968,남여공학,주간,전라남도,고등학교,공립
A000019125,담양공업고등학교,1951,남여공학,주간,전라남도,고등학교,공립
A000019126,한국말산업고등학교,1984,남여공학,주간,전라남도,고등학교,공립
A000019127,도초고등학교,1978,남여공학,주간,전라남도,고등학교,공립
A000019128,광양백운고등학교,1995,남여공학,주간,전라남도,고등학교,공립
A000019129,목포고등학교,1950,남,주간,전라남도,고등학교,공립
A000019131,목포공업고등학교,1927,남여공학,주간,전라남도,고등학교,공립
A000019132,목포덕인고등학교,1963,남,주간,전라남도,고등학교,사립
A000019133,목포마리아회고등학교,1966,남,주간,전라남도,고등학교,사립
A000019134,목포성신고등학교,1983,남여공학,주간,전라남도,고등학교,사립
A000019135,목포중앙고등학교,1984,남여공학,주간,전라남도,고등학교,사립
A000019136,목포여자고등학교,1944,여,주간,전라남도,고등학교,공립
A000019137,목포여자상업고등학교,1972,여,주간,전라남도,고등학교,사립
A000019138,목포정명여자고등학교,1903,여,주간,전라남도,고등학교,사립
A000019139,목포제일여자고등학교,1966,여,주간,전라남도,고등학교,공립
A000019141,목포혜인여자고등학교,1967,여,주간,전라남도,고등학교,사립
A000019142,목포홍일고등학교,1947,남,주간,전라남도,고등학교,사립
A000019143,무안고등학교,1964,남여공학,주간,전라남도,고등학교,공립
A000019144,문태고등학교,1951,남여공학,주간,전라남도,고등학교,사립
A000019145,백제고등학교,1979,남여공학,주간,전라남도,고등학교,사립
A000019146,벌교고등학교,1985,남여공학,주간,전라남도,고등학교,사립
A000019147,벌교상업고등학교,1952,남여공학,주간,전라남도,고등학교,공립
A000019148,벌교여자고등학교,1974,여,주간,전라남도,고등학교,사립
A000019149,법성고등학교,1951,남여공학,주간,전라남도,고등학교,공립
A000019150,병영상업고등학교,1965,남여공학,주간,전라남도,고등학교,공립
A000019151,보성고등학교,1966,남여공학,주간,전라남도,고등학교,공립
A000019152,다향고등학교,1951,남여공학,주간,전라남도,고등학교,공립
A000019153,봉황고등학교,1981,남여공학,주간,전라남도,고등학교,공립
A000019154,부영여자고등학교,1995,여,주간,전라남도,고등학교,공립
A000019155,삼계고등학교,1967,남여공학,주간,전라남도,고등학교,공립
A000019156,진도국악고등학교,1982,남여공학,주간,전라남도,고등학교,공립
A000019157,성전고등학교,1966,남여공학,주간,전라남도,고등학교,공립
A000019158,송지고등학교,1969,남여공학,주간,전라남도,고등학교,공립
A000019159,순천강남여자고등학교,1983,여,주간,전라남도,고등학교,사립
A000019160,순천고등학교,1938,남,주간,전라남도,고등학교,공립
A000019162,순천공업고등학교,1967,남,주간,전라남도,고등학교,공립
A000019163,순천금당고등학교,1974,남,주간,전라남도,고등학교,사립
A000019164,순천매산고등학교,1950,남,주간,전라남도,고등학교,사립
A000019165,순천매산여자고등학교,1984,여,주간,전라남도,고등학교,사립
A000019166,순천여자고등학교,1940,여,주간,전라남도,고등학교,공립
A000019167,순천미래과학고등학교,1988,남여공학,주간,전라남도,고등학교,공립
A000019168,순천제일고등학교,2001,남여공학,주간,전라남도,고등학교,공립
A000019169,순천청암고등학교,1976,여,주간,전라남도,고등학교,사립
A000019170,순천효산고등학교,1979,남여공학,주간,전라남도,고등학교,사립
A000019171,순천효천고등학교,1983,남여공학,주간,전라남도,고등학교,사립
A000019172,전남에너지고등학교,1972,남여공학,주간,전라남도,고등학교,공립
