학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003488,강원대학교사범대학부설고등학교,1966,남여공학,주간,강원도,고등학교,국립
A000003537,춘천교육대학교부설초등학교,1939,남여공학,주간,강원도,초등학교,국립
A000014913,가곡고등학교,1986,남여공학,주간,강원도,고등학교,공립
A000014914,간동고등학교,1982,남여공학,주간,강원도,고등학교,공립
A000014915,갑천고등학교,1966,남여공학,주간,강원도,고등학교,공립
A000014916,강릉고등학교,1962,남,주간,강원도,고등학교,공립
A000014917,강릉중앙고등학교,1928,남,주간,강원도,고등학교,공립
A000014918,강릉명륜고등학교,1963,남,주간,강원도,고등학교,사립
A000014919,강릉문성고등학교,1986,남여공학,주간,강원도,고등학교,사립
A000014920,강릉여자고등학교,1940,여,주간,강원도,고등학교,공립
A000014921,강릉정보공업고등학교,1969,남여공학,주간,강원도,고등학교,공립
A000014922,강릉제일고등학교,1938,남,주간,강원도,고등학교,공립
A000014923,강원고등학교,1959,남,주간,강원도,고등학교,사립
A000014924,강원과학고등학교,1992,남여공학,주간,강원도,고등학교,공립
A000014925,강원예술고등학교,2001,남여공학,주간,강원도,고등학교,공립
A000014926,강원체육고등학교,1991,남여공학,주간,강원도,고등학교,공립
A000014927,강일여자고등학교,1964,여,주간,강원도,고등학교,사립
A000014928,거진고등학교,1964,남여공학,주간,강원도,고등학교,공립
A000014929,경포고등학교,1982,남여공학,주간,강원도,고등학교,공립
A000014930,고성고등학교,1958,남여공학,주간,강원도,고등학교,공립
A000014931,고한고등학교,1979,남여공학,주간,강원도,고등학교,공립
A000014932,기린고등학교,1972,남여공학,주간,강원도,고등학교,공립
A000014933,김화고등학교,1979,남여공학,주간,강원도,고등학교,공립
A000014934,김화공업고등학교,1968,남여공학,주간,강원도,고등학교,공립
A000014935,내면고등학교,1983,남여공학,주간,강원도,고등학교,공립
A000014936,상지대관령고등학교,1974,남여공학,주간,강원도,고등학교,사립
A000014937,대성고등학교,1954,남,주간,강원도,고등학교,사립
A000014938,대진고등학교,1980,남여공학,주간,강원도,고등학교,공립
A000014939,대화고등학교,1968,남여공학,주간,강원도,고등학교,공립
A000014940,도계고등학교,1966,남여공학,주간,강원도,고등학교,공립
A000014941,도계전산정보고등학교,1974,남여공학,주간,강원도,고등학교,공립
A000014942,동광산업과학고등학교,1954,남여공학,주간,강원도,고등학교,공립
A000014943,동해광희고등학교,1981,남여공학,주간,강원도,고등학교,사립
A000014944,동해삼육고등학교,1981,남여공학,주간,강원도,고등학교,사립
A000014945,동해상업고등학교,1969,남여공학,주간,강원도,고등학교,공립
A000014946,둔내고등학교,1967,남여공학,주간,강원도,고등학교,공립
A000014947,마차고등학교,1958,남여공학,주간,강원도,고등학교,공립
A000014948,묵호고등학교,1954,남여공학,주간,강원도,고등학교,공립
A000014950,민족사관고등학교,1995,남여공학,주간,강원도,고등학교,사립
A000014951,봉의고등학교,1986,남여공학,주간,강원도,고등학교,공립
A000014952,봉평고등학교,1980,남여공학,주간,강원도,고등학교,공립
A000014953,원주금융회계고등학교,1980,남여공학,주간,강원도,고등학교,공립
A000014954,북원여자고등학교,1981,여,주간,강원도,고등학교,공립
A000014955,북평고등학교,1946,남,주간,강원도,고등학교,공립
A000014956,북평여자고등학교,1961,여,주간,강원도,고등학교,공립
A000014957,사내고등학교,1978,남여공학,주간,강원도,고등학교,공립
A000014958,사북고등학교,1972,남여공학,주간,강원도,고등학교,공립
A000014959,삼일고등학교,1980,남여공학,주간,강원도,고등학교,사립
A000014960,삼척고등학교,1963,남,주간,강원도,고등학교,공립
A000014961,삼척여자고등학교,1953,여,주간,강원도,고등학교,공립
A000014962,한국에너지마이스터고등학교,1956,남여공학,주간,강원도,고등학교,공립
A000014963,상동고등학교,1955,남여공학,주간,강원도,고등학교,공립
A000014964,상지여자고등학교,1964,여,주간,강원도,고등학교,사립
A000014965,서석고등학교,1967,남여공학,주간,강원도,고등학교,공립
A000014966,석정여자고등학교,1963,여,주간,강원도,고등학교,사립
A000014967,성수고등학교,1958,남,주간,강원도,고등학교,사립
A000014968,성수여자고등학교,1956,여,주간,강원도,고등학교,사립
A000014969,속초고등학교,1952,남,주간,강원도,고등학교,공립
A000014970,설악고등학교,1969,남여공학,주간,강원도,고등학교,공립
A000014972,속초여자고등학교,1963,여,주간,강원도,고등학교,공립
A000014973,신남고등학교,1980,남여공학,주간,강원도,고등학교,공립
A000014974,신철원고등학교,1957,남여공학,주간,강원도,고등학교,공립
A000014975,안흥고등학교,1978,남여공학,주간,강원도,고등학교,공립
A000014976,양구여자고등학교,1974,여,주간,강원도,고등학교,공립
A000014977,양구고등학교,1955,남,주간,강원도,고등학교,공립
A000014978,양양고등학교,1954,남여공학,주간,강원도,고등학교,공립
A000014979,여량고등학교,1981,남여공학,주간,강원도,고등학교,공립
A000014980,영월고등학교,1972,남,주간,강원도,고등학교,공립
A000014981,한국소방마이스터고등학교,1946,남여공학,주간,강원도,고등학교,공립
A000014982,원덕고등학교,1964,남여공학,주간,강원도,고등학교,공립
A000014983,원주고등학교,1953,남,주간,강원도,고등학교,공립
A000014985,미래고등학교,1991,남여공학,주간,강원도,고등학교,공립
A000014986,영서고등학교,1941,남여공학,주간,강원도,고등학교,공립
A000014987,원주삼육고등학교,1964,남여공학,주간,강원도,고등학교,사립
A000014988,원주여자고등학교,1945,여,주간,강원도,고등학교,공립
A000014989,원주의료고등학교,1969,남여공학,주간,강원도,고등학교,공립
A000014990,원통고등학교,1974,남여공학,주간,강원도,고등학교,공립
A000014991,유봉여자고등학교,1964,여,주간,강원도,고등학교,사립
A000014992,육민관고등학교,1952,남여공학,주간,강원도,고등학교,사립
A000014993,인제고등학교,1955,남여공학,주간,강원도,고등학교,공립
A000014994,임계고등학교,1969,남여공학,주간,강원도,고등학교,공립
A000014995,장성여자고등학교,1969,여,주간,강원도,고등학교,공립
A000014996,정선고등학교,1951,남여공학,주간,강원도,고등학교,공립
A000014997,정선정보공업고등학교,1951,남여공학,주간,강원도,고등학교,공립
A000014998,주문진고등학교,1987,남여공학,주간,강원도,고등학교,공립
A000014999,주천고등학교,1945,남여공학,주간,강원도,고등학교,공립
A000015000,진광고등학교,1969,남,주간,강원도,고등학교,사립
A000015001,진부고등학교,1968,남여공학,주간,강원도,고등학교,공립
A000015002,철암고등학교,1974,남여공학,주간,강원도,고등학교,공립
A000015003,철원고등학교,1964,남,주간,강원도,고등학교,공립
A000015004,철원여자고등학교,1979,여,주간,강원도,고등학교,공립
A000015005,춘천고등학교,1924,남,주간,강원도,고등학교,공립
A000015007,춘천기계공업고등학교,1970,남,주간,강원도,고등학교,공립
A000015008,강원생명과학고등학교,1910,남여공학,주간,강원도,고등학교,공립
A000015009,춘천한샘고등학교,1974,남여공학,주간,강원도,고등학교,공립
A000015010,춘천여자고등학교,1934,여,주간,강원도,고등학교,공립
A000015012,태백기계공업고등학교,1951,남여공학,주간,강원도,고등학교,공립
A000015013,평창고등학교,1946,남여공학,주간,강원도,고등학교,공립
A000015014,함백고등학교,1966,남여공학,주간,강원도,고등학교,공립
