학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003503,광주교육대학교광주부설초등학교,1938,남여공학,주간,광주광역시,초등학교,국립
A000003509,전남대학교사범대학부설고등학교,1976,남여공학,주간,광주광역시,고등학교,국립
A000003510,전남대학교사범대학부설중학교,1975,남여공학,주간,광주광역시,중학교,국립
A000008488,고려고등학교,1986,남,주간,광주광역시,고등학교,사립
A000008489,광덕고등학교,1980,남,주간,광주광역시,고등학교,사립
A000008490,광일고등학교,1982,남여공학,주간,광주광역시,고등학교,사립
A000008491,광주경신여자고등학교,1972,여,주간,광주광역시,고등학교,사립
A000008492,광주고등학교,1951,남,주간,광주광역시,고등학교,공립
A000008494,광주과학고등학교,1983,남여공학,주간,광주광역시,고등학교,공립
A000008495,광주공업고등학교,1946,남여공학,주간,광주광역시,고등학교,공립
A000008496,광주대동고등학교,1972,남,주간,광주광역시,고등학교,사립
A000008497,광주동성고등학교,1945,남,주간,광주광역시,고등학교,사립
A000008498,광주동신고등학교,1966,남,주간,광주광역시,고등학교,사립
A000008499,광주동신여자고등학교,1969,여,주간,광주광역시,고등학교,사립
A000008500,광주서석고등학교,1974,남,주간,광주광역시,고등학교,사립
A000008501,광주석산고등학교,1970,남,주간,광주광역시,고등학교,사립
A000008502,광주수피아여자고등학교,1908,여,주간,광주광역시,고등학교,사립
A000008503,광주숭일고등학교,1908,남여공학,주간,광주광역시,고등학교,사립
A000008504,광주여자고등학교,1923,여,주간,광주광역시,고등학교,공립
A000008505,광주여자상업고등학교,1963,여,주간,광주광역시,고등학교,사립
A000008506,광주예술고등학교,1982,남여공학,주간,광주광역시,고등학교,공립
A000008507,광주인성고등학교,1973,남,주간,광주광역시,고등학교,사립
A000008508,광주자연과학고등학교,1909,남여공학,주간,광주광역시,고등학교,공립
A000008509,광주소프트웨어마이스터고등학교,1954,남여공학,주간,광주광역시,고등학교,공립
A000008510,광주전자공업고등학교,1996,남여공학,주간,광주광역시,고등학교,공립
A000008511,광주자동화설비공업고등학교,1978,남여공학,주간,광주광역시,고등학교,공립
A000008512,광주제일고등학교,1920,남,주간,광주광역시,고등학교,공립
A000008513,금호중앙여자고등학교,1960,여,주간,광주광역시,고등학교,사립
A000008514,광주진흥고등학교,1971,남,주간,광주광역시,고등학교,사립
A000008515,광주체육고등학교,1972,남여공학,주간,광주광역시,고등학교,공립
A000008516,국제고등학교,1985,남여공학,주간,광주광역시,고등학교,사립
A000008517,금파공업고등학교,1978,남여공학,주간,광주광역시,고등학교,사립
A000008518,금호고등학교,1973,남,주간,광주광역시,고등학교,사립
A000008519,대광여자고등학교,1985,여,주간,광주광역시,고등학교,사립
A000008520,대성여자고등학교,1981,여,주간,광주광역시,고등학교,사립
A000008521,동명고등학교,1998,남여공학,주간,광주광역시,고등학교,사립
A000008522,동아여자고등학교,1982,여,주간,광주광역시,고등학교,사립
A000008523,동일미래과학고등학교,1980,남여공학,주간,광주광역시,고등학교,사립
A000008524,문성고등학교,1982,남,주간,광주광역시,고등학교,사립
A000008525,보문고등학교,1974,남여공학,주간,광주광역시,고등학교,사립
A000008526,살레시오고등학교,1959,남,주간,광주광역시,고등학교,사립
A000008527,살레시오여자고등학교,1961,여,주간,광주광역시,고등학교,사립
A000008528,상무고등학교,1998,남여공학,주간,광주광역시,고등학교,공립
A000008529,서강고등학교,1976,남여공학,주간,광주광역시,고등학교,사립
A000008530,서진여자고등학교,1981,여,주간,광주광역시,고등학교,사립
A000008531,설월여자고등학교,1996,여,주간,광주광역시,고등학교,사립
A000008532,명진고등학교,1985,여,주간,광주광역시,고등학교,사립
A000008533,송원고등학교,1965,남여공학,주간,광주광역시,고등학교,사립
A000008534,송원여자고등학교,1974,여,주간,광주광역시,고등학교,사립
A000008535,숭덕고등학교,1995,남여공학,주간,광주광역시,고등학교,사립
A000008536,숭의과학기술고등학교,1959,남여공학,주간,광주광역시,고등학교,사립
A000008537,전남고등학교,1966,남,주간,광주광역시,고등학교,공립
A000008538,전남공업고등학교,1976,남여공학,주간,광주광역시,고등학교,공립
A000008539,전남여자고등학교,1927,여,주간,광주광역시,고등학교,공립
A000008541,전남여자상업고등학교,1968,여,주간,광주광역시,고등학교,사립
A000008542,정광고등학교,1946,남여공학,주간,광주광역시,고등학교,사립
A000008543,조선대학교부속고등학교,1947,남,주간,광주광역시,고등학교,사립
A000008544,조선대학교여자고등학교,1961,여,주간,광주광역시,고등학교,사립
A000008545,호남삼육고등학교,1953,남여공학,주간,광주광역시,고등학교,사립
A000008546,각화중학교,1993,남여공학,주간,광주광역시,중학교,공립
A000008547,고려중학교,1986,남,주간,광주광역시,중학교,사립
A000008548,광주경신중학교,1983,남여공학,주간,광주광역시,중학교,사립
A000008549,광주동신여자중학교,1969,여,주간,광주광역시,중학교,사립
A000008550,광주동신중학교,1966,남,주간,광주광역시,중학교,사립
A000008551,무등중학교,1969,남여공학,주간,광주광역시,중학교,공립
A000008552,광주북성중학교,1951,남여공학,주간,광주광역시,중학교,공립
A000008553,광주숭일중학교,1908,남여공학,주간,광주광역시,중학교,사립
A000008554,금호중앙중학교,1960,남여공학,주간,광주광역시,중학교,사립
A000008555,광주진흥중학교,1971,남여공학,주간,광주광역시,중학교,사립
A000008556,광주체육중학교,1972,남여공학,주간,광주광역시,중학교,공립
A000008557,광주충장중학교,1969,남여공학,주간,광주광역시,중학교,공립
A000008558,두암중학교,1992,남여공학,주간,광주광역시,중학교,공립
A000008559,문산중학교,1995,남여공학,주간,광주광역시,중학교,공립
A000008560,문화중학교,1983,남여공학,주간,광주광역시,중학교,공립
A000008561,문흥중학교,1993,남여공학,주간,광주광역시,중학교,공립
A000008562,살레시오여자중학교,1958,여,주간,광주광역시,중학교,사립
A000008563,살레시오중학교,1992,남,주간,광주광역시,중학교,사립
A000008564,서강중학교,1982,남여공학,주간,광주광역시,중학교,사립
A000008565,신광중학교,1981,남여공학,주간,광주광역시,중학교,공립
A000008566,양산중학교,1994,남여공학,주간,광주광역시,중학교,공립
A000008567,용봉중학교,1986,남여공학,주간,광주광역시,중학교,공립
A000008568,우산중학교,1985,남여공학,주간,광주광역시,중학교,공립
A000008569,운림중학교,2002,남여공학,주간,광주광역시,중학교,공립
A000008570,운암중학교,1983,남여공학,주간,광주광역시,중학교,공립
A000008571,일곡중학교,1995,남여공학,주간,광주광역시,중학교,공립
A000008572,일동중학교,1997,남여공학,주간,광주광역시,중학교,공립
A000008573,조선대학교부속중학교,1947,남,주간,광주광역시,중학교,사립
A000008574,조선대학교여자중학교,1947,여,주간,광주광역시,중학교,사립
A000008575,각화초등학교,1990,남여공학,주간,광주광역시,초등학교,공립
A000008576,경양초등학교,1985,남여공학,주간,광주광역시,초등학교,공립
A000008577,광주계림초등학교,1948,남여공학,주간,광주광역시,초등학교,공립
A000008578,광주남초등학교,1943,남여공학,주간,광주광역시,초등학교,공립
A000008579,광주동산초등학교,1967,남여공학,주간,광주광역시,초등학교,공립
A000008580,광주동운초등학교,1976,남여공학,주간,광주광역시,초등학교,공립
A000008581,광주동초등학교,1926,남여공학,주간,광주광역시,초등학교,공립
A000008582,광주동초등학교충효분교장,2002,남여공학,주간,광주광역시,초등학교,공립
A000008583,광주문화초등학교,1970,남여공학,주간,광주광역시,초등학교,공립
A000008584,광주산수초등학교,1970,남여공학,주간,광주광역시,초등학교,공립
A000008585,광주서림초등학교,1954,남여공학,주간,광주광역시,초등학교,공립
A000008586,광주서산초등학교,1965,남여공학,주간,광주광역시,초등학교,공립
A000008587,광주서석초등학교,1896,남여공학,주간,광주광역시,초등학교,공립
A000008588,광주수창초등학교,1921,남여공학,주간,광주광역시,초등학교,공립
A000008589,광주양산초등학교,1965,남여공학,주간,광주광역시,초등학교,공립
A000008590,광주용봉초등학교,1975,남여공학,주간,광주광역시,초등학교,공립
A000008591,광주용산초등학교,1988,남여공학,주간,광주광역시,초등학교,공립
A000008592,광주우산초등학교,1979,남여공학,주간,광주광역시,초등학교,공립
A000008593,광주운암초등학교,1979,남여공학,주간,광주광역시,초등학교,공립
A000008594,광주장원초등학교,1974,남여공학,주간,광주광역시,초등학교,공립
A000008595,광주중앙초등학교,1907,남여공학,주간,광주광역시,초등학교,공립
A000008596,광주중흥초등학교,1966,남여공학,주간,광주광역시,초등학교,공립
A000008597,광주지산초등학교,1923,남여공학,주간,광주광역시,초등학교,공립
A000008598,광주풍향초등학교,1979,남여공학,주간,광주광역시,초등학교,공립
A000008599,광주학운초등학교,1974,남여공학,주간,광주광역시,초등학교,공립
A000008600,광주효동초등학교,1929,남여공학,주간,광주광역시,초등학교,공립
A000008601,대자초등학교,1991,남여공학,주간,광주광역시,초등학교,공립
A000008602,동림초등학교,1998,남여공학,주간,광주광역시,초등학교,공립
A000008603,두암초등학교,1986,남여공학,주간,광주광역시,초등학교,공립
A000008604,매곡초등학교,1994,남여공학,주간,광주광역시,초등학교,공립
A000008605,무등초등학교,1988,남여공학,주간,광주광역시,초등학교,공립
A000008606,문산초등학교,1995,남여공학,주간,광주광역시,초등학교,공립
A000008607,문정초등학교,1995,남여공학,주간,광주광역시,초등학교,공립
A000008608,문흥중앙초등학교,1993,남여공학,주간,광주광역시,초등학교,공립
A000008609,문흥초등학교,1991,남여공학,주간,광주광역시,초등학교,공립
A000008610,살레시오초등학교,1962,남여공학,주간,광주광역시,초등학교,사립
A000008611,삼각초등학교,1997,남여공학,주간,광주광역시,초등학교,공립
A000008612,삼정초등학교,1993,남여공학,주간,광주광역시,초등학교,공립
A000008613,서일초등학교,1995,남여공학,주간,광주광역시,초등학교,공립
A000008614,오정초등학교,1995,남여공학,주간,광주광역시,초등학교,공립
A000008615,오치초등학교,1993,남여공학,주간,광주광역시,초등학교,공립
A000008616,용두초등학교,1998,남여공학,주간,광주광역시,초등학교,공립
A000008617,용주초등학교,1999,남여공학,주간,광주광역시,초등학교,공립
A000008618,율곡초등학교,1994,남여공학,주간,광주광역시,초등학교,공립
A000008619,일곡초등학교,1997,남여공학,주간,광주광역시,초등학교,공립
