학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000010181,가평고등학교,1954,남여공학,주간,경기도,고등학교,공립
A000010182,경기과학고등학교,1983,남여공학,주간,경기도,고등학교,공립
A000010183,경기대명고등학교,2002,남여공학,주간,경기도,고등학교,공립
A000010184,경기체육고등학교,1995,남여공학,주간,경기도,고등학교,공립
A000010185,이천세무고등학교,1958,남여공학,주간,경기도,고등학교,공립
A000010186,경민고등학교,1971,남여공학,주간,경기도,고등학교,사립
A000010187,경민비즈니스고등학교,1974,여,주간,경기도,고등학교,사립
A000010188,경민IT고등학교,1985,남여공학,주간,경기도,고등학교,사립
A000010189,경안고등학교,1995,남여공학,주간,경기도,고등학교,사립
A000010190,경일관광경영고등학교,1991,남여공학,주간,경기도,고등학교,사립
A000010191,경화여자고등학교,1978,여,주간,경기도,고등학교,사립
A000010192,계남고등학교,1993,남여공학,주간,경기도,고등학교,공립
A000010194,계원예술고등학교,1980,남여공학,주간,경기도,고등학교,사립
A000010195,백송고등학교,1974,남여공학,주간,경기도,고등학교,사립
A000010196,고양외국어고등학교,1988,남여공학,주간,경기도,고등학교,사립
A000010197,고양고등학교,1938,남여공학,주간,경기도,고등학교,공립
A000010198,고잔고등학교,2001,남여공학,주간,경기도,고등학교,공립
A000010199,과천고등학교,1984,남여공학,주간,경기도,고등학교,공립
A000010200,과천여자고등학교,1976,여,주간,경기도,고등학교,사립
A000010201,과천외국어고등학교,1989,남여공학,주간,경기도,고등학교,사립
A000010202,과천중앙고등학교,2000,남여공학,주간,경기도,고등학교,공립
A000010203,경기게임마이스터고등학교,1995,남여공학,주간,경기도,고등학교,공립
A000010204,관양고등학교,2002,남여공학,주간,경기도,고등학교,공립
A000010205,관인고등학교,1971,남여공학,주간,경기도,고등학교,공립
A000010206,광동고등학교,1952,남여공학,주간,경기도,고등학교,사립
A000010207,의정부광동고등학교,1955,남여공학,주간,경기도,고등학교,사립
A000010208,광명고등학교,1974,남여공학,주간,경기도,고등학교,공립
A000010209,경기항공고등학교,1977,남여공학,주간,경기도,고등학교,사립
A000010210,광명북고등학교,1990,남여공학,주간,경기도,고등학교,공립
A000010211,명문고등학교,1976,남여공학,주간,경기도,고등학교,공립
A000010212,창의경영고등학교,1979,남여공학,주간,경기도,고등학교,공립
A000010213,광문고등학교,1997,남여공학,주간,경기도,고등학교,공립
A000010214,광주고등학교,2001,남,주간,경기도,고등학교,공립
A000010215,곤지암고등학교,1970,남여공학,주간,경기도,고등학교,공립
A000010216,광주중앙고등학교,1952,남여공학,주간,경기도,고등학교,공립
A000010217,광탄고등학교,1975,남여공학,주간,경기도,고등학교,사립
A000010218,구리고등학교,1986,남,주간,경기도,고등학교,공립
A000010219,구리여자고등학교,1981,여,주간,경기도,고등학교,공립
A000010220,군자디지털과학고등학교,1962,남여공학,주간,경기도,고등학교,공립
A000010221,군포고등학교,1988,남여공학,주간,경기도,고등학교,사립
A000010222,군포e비즈니스고등학교,1994,남여공학,주간,경기도,고등학교,공립
A000010223,권선고등학교,1996,남여공학,주간,경기도,고등학교,공립
A000010224,근명고등학교,1967,남여공학,주간,경기도,고등학교,사립
A000010225,금곡고등학교,1959,남여공학,주간,경기도,고등학교,공립
A000010226,기흥고등학교,2001,남여공학,주간,경기도,고등학교,공립
A000010227,김포고등학교,1955,남여공학,주간,경기도,고등학교,공립
A000010228,김포제일공업고등학교,1936,남여공학,주간,경기도,고등학교,공립
A000010229,낙생고등학교,1975,남여공학,주간,경기도,고등학교,사립
A000010230,한국외식과학고등학교,1961,남여공학,주간,경기도,고등학교,사립
A000010231,남양고등학교,1954,남여공학,주간,경기도,고등학교,공립
A000010232,남양주고등학교,1997,남여공학,주간,경기도,고등학교,공립
A000010233,남한고등학교,1962,남여공학,주간,경기도,고등학교,공립
A000010234,능곡고등학교,1962,남여공학,주간,경기도,고등학교,공립
A000010235,대부고등학교,1976,남여공학,주간,경기도,고등학교,공립
A000010236,대신고등학교,1955,남여공학,주간,경기도,고등학교,사립
A000010237,대평고등학교,2001,남여공학,주간,경기도,고등학교,공립
A000010238,덕산고등학교,2002,남여공학,주간,경기도,고등학교,공립
A000010239,덕소고등학교,1983,남여공학,주간,경기도,고등학교,사립
A000010240,덕정고등학교,1999,남여공학,주간,경기도,고등학교,공립
A000010241,도당고등학교,1999,남여공학,주간,경기도,고등학교,공립
A000010242,동남고등학교,1959,남여공학,주간,경기도,고등학교,사립
A000010243,동두천고등학교,1963,남여공학,주간,경기도,고등학교,사립
A000010244,한국문화영상고등학교,1969,남여공학,주간,경기도,고등학교,사립
A000010245,동두천중앙고등학교,1974,남여공학,주간,경기도,고등학교,공립
A000010246,동안고등학교,1994,남여공학,주간,경기도,고등학교,공립
A000010247,동우여자고등학교,1987,여,주간,경기도,고등학교,사립
A000010248,동원고등학교,1985,남,주간,경기도,고등학교,사립
A000010249,동일공업고등학교,1977,남여공학,주간,경기도,고등학교,사립
A000010250,동화고등학교,1973,남여공학,주간,경기도,고등학교,사립
A000010251,두레자연고등학교,1999,남여공학,주간,경기도,고등학교,사립
A000010252,마장고등학교,1975,남여공학,주간,경기도,고등학교,공립
A000010253,매향여자정보고등학교,1902,여,주간,경기도,고등학교,사립
A000010254,무원고등학교,1997,남여공학,주간,경기도,고등학교,공립
A000010255,문산고등학교,1961,남여공학,주간,경기도,고등학교,공립
A000010256,문산수억고등학교,1969,남여공학,주간,경기도,고등학교,사립
A000010257,문산제일고등학교,1942,남여공학,주간,경기도,고등학교,공립
A000010258,경기모바일과학고등학교,1967,남여공학,주간,경기도,고등학교,공립
A000010259,발안바이오과학고등학교,1954,남여공학,주간,경기도,고등학교,공립
A000010260,백마고등학교,1996,남여공학,주간,경기도,고등학교,공립
A000010261,백석고등학교,1992,남여공학,주간,경기도,고등학교,공립
A000010262,백신고등학교,1994,남여공학,주간,경기도,고등학교,공립
A000010263,백암고등학교,1964,남여공학,주간,경기도,고등학교,공립
A000010264,백양고등학교,2000,남여공학,주간,경기도,고등학교,공립
A000010265,백영고등학교,1993,남여공학,주간,경기도,고등학교,사립
