학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000003495,경상국립대학교사범대학부설고등학교,1983,남여공학,주간,경상남도,고등학교,국립
A000003514,진주교육대학교부설초등학교,1940,남여공학,주간,경상남도,초등학교,국립
A000003519,구미전자공업고등학교,1954,남여공학,주간,경상북도,고등학교,국립
A000003540,대구교육대학교안동부설초등학교,1956,남여공학,주간,경상북도,초등학교,국립
A000003544,경상국립대학교사범대학부설중학교,1983,남여공학,주간,경상남도,중학교,국립
A000020528,가은고등학교,1974,남여공학,주간,경상북도,고등학교,공립
A000020529,경북일고등학교,1976,남여공학,주간,경상북도,고등학교,공립
A000020530,한국국제통상마이스터고등학교,1953,남여공학,주간,경상북도,고등학교,공립
A000020531,강구정보고등학교,1967,남여공학,주간,경상북도,고등학교,공립
A000020532,경구고등학교,1984,남,주간,경상북도,고등학교,사립
A000020533,경북과학고등학교,1992,남여공학,주간,경상북도,고등학교,공립
A000020534,경북생활과학고등학교,1967,남여공학,주간,경상북도,고등학교,공립
A000020535,경북외국어고등학교,1995,남여공학,주간,경상북도,고등학교,공립
A000020536,한국펫고등학교,1974,남여공학,주간,경상북도,고등학교,사립
A000020537,경북체육고등학교,1972,남여공학,주간,경상북도,고등학교,공립
A000020538,경산고등학교,1974,남,주간,경상북도,고등학교,공립
A000020539,경산여자고등학교,1972,여,주간,경상북도,고등학교,사립
A000020540,경산제일고등학교,1974,여,주간,경상북도,고등학교,사립
A000020541,경북기계금속고등학교,1994,남여공학,주간,경상북도,고등학교,공립
A000020542,경안고등학교,1954,남,주간,경상북도,고등학교,사립
A000020543,경안여자고등학교,1964,여,주간,경상북도,고등학교,사립
A000020544,경일고등학교,1972,남,주간,경상북도,고등학교,사립
A000020545,경주고등학교,1938,남,주간,경상북도,고등학교,사립
A000020546,경주공업고등학교,1951,남여공학,주간,경상북도,고등학교,공립
A000020547,경주디자인고등학교,2001,남여공학,주간,경상북도,고등학교,공립
A000020548,경주여자고등학교,1945,여,주간,경상북도,고등학교,공립
A000020549,경주여자정보고등학교,1974,여,주간,경상북도,고등학교,사립
A000020550,경주정보고등학교,1953,남,주간,경상북도,고등학교,사립
A000020551,경주화랑고등학교,1998,남여공학,주간,경상북도,고등학교,사립
A000020552,계림고등학교,1984,남,주간,경상북도,고등학교,공립
A000020553,고령고등학교,1954,남여공학,주간,경상북도,고등학교,공립
A000020554,포항과학기술고등학교,1951,남여공학,주간,경상북도,고등학교,공립
A000020555,구미고등학교,1979,남,주간,경상북도,고등학교,공립
A000020557,구미여자고등학교,1980,여,주간,경상북도,고등학교,공립
A000020558,구미정보고등학교,1969,남여공학,주간,경상북도,고등학교,공립
A000020559,구미여자상업고등학교,1969,여,주야간,경상북도,고등학교,공립
A000020560,군위고등학교,1953,남여공학,주간,경상북도,고등학교,공립
A000020561,근화여자고등학교,1949,여,주간,경상북도,고등학교,사립
A000020562,금성고등학교,1973,남여공학,주간,경상북도,고등학교,공립
A000020563,금오고등학교,2001,남여공학,주간,경상북도,고등학교,공립
A000020564,금오공업고등학교,1972,남,주간,경상북도,고등학교,공립
A000020565,금오여자고등학교,1984,여,주간,경상북도,고등학교,사립
A000020566,금천고등학교,1972,남여공학,주간,경상북도,고등학교,공립
A000020567,경북휴먼테크고등학교,1993,남여공학,주간,경상북도,고등학교,사립
A000020568,포은고등학교,1983,남여공학,주간,경상북도,고등학교,공립
A000020569,경북세무고등학교,1977,남여공학,주간,경상북도,고등학교,공립
A000020570,길원여자고등학교,1974,여,주간,경상북도,고등학교,사립
A000020571,김천고등학교,1931,남,주간,경상북도,고등학교,사립
A000020572,김천생명과학고등학교,1942,남여공학,주간,경상북도,고등학교,공립
A000020573,김천여자고등학교,1935,여,주간,경상북도,고등학교,공립
A000020574,김천예술고등학교,1985,남여공학,주간,경상북도,고등학교,사립
A000020575,김천중앙고등학교,1964,남,주간,경상북도,고등학교,공립
A000020577,대가야고등학교,1983,남여공학,주간,경상북도,고등학교,사립
A000020578,대구가톨릭대학교사범대학부속무학고등학교,1974,남,주간,경상북도,고등학교,사립
A000020579,대동고등학교,1972,남,주간,경상북도,고등학교,사립
A000020580,대영고등학교,1981,남,주간,경상북도,고등학교,사립
A000020581,대창고등학교,1953,남,주간,경상북도,고등학교,사립
A000020582,도개고등학교,1974,남여공학,주간,경상북도,고등학교,사립
A000020583,동명고등학교,1983,남여공학,주간,경상북도,고등학교,공립
A000020584,한국미래산업고등학교,1972,남여공학,주간,경상북도,고등학교,사립
A000020585,동지고등학교,1951,남,주간,경상북도,고등학교,사립
A000020586,동지여자고등학교,1966,여,주간,경상북도,고등학교,사립
A000020587,명인고등학교,1979,남여공학,주간,경상북도,고등학교,사립
A000020588,모계고등학교,1953,남여공학,주간,경상북도,고등학교,사립
A000020589,무산고등학교,1954,남여공학,주간,경상북도,고등학교,사립
A000020590,문경공업고등학교,1951,남여공학,주간,경상북도,고등학교,공립
A000020591,문경여자고등학교,1956,여,주간,경상북도,고등학교,사립
A000020592,문명고등학교,1966,남,주간,경상북도,고등학교,사립
A000020593,문창고등학교,1970,남,주간,경상북도,고등학교,사립
A000020594,문화고등학교,1951,남,주간,경상북도,고등학교,사립
A000020595,경북소프트웨어고등학교,1967,남여공학,주간,경상북도,고등학교,공립
A000020596,봉화고등학교,1958,남여공학,주간,경상북도,고등학교,공립
A000020597,삼성생활예술고등학교,1952,남여공학,주간,경상북도,고등학교,사립
A000020598,상산전자고등학교,1975,남여공학,주간,경상북도,고등학교,공립
A000020599,상주고등학교,1953,남,주간,경상북도,고등학교,사립
A000020600,상주공업고등학교,1969,남,주간,경상북도,고등학교,사립
A000020601,상주여자고등학교,1953,여,주간,경상북도,고등학교,공립
A000020602,우석여자고등학교,1977,여,주간,경상북도,고등학교,사립
A000020603,상지미래경영고등학교,1972,남여공학,주간,경상북도,고등학교,사립
A000020604,선덕여자고등학교,1974,여,주간,경상북도,고등학교,사립
A000020605,선산고등학교,1951,남여공학,주간,경상북도,고등학교,공립
A000020606,한국국제조리고등학교,1981,남여공학,주간,경상북도,고등학교,사립
A000020607,선화여자고등학교,1985,여,주간,경상북도,고등학교,사립
A000020608,성의고등학교,1952,남,주간,경상북도,고등학교,사립
A000020609,성의여자고등학교,1952,여,주간,경상북도,고등학교,사립
A000020610,성주고등학교,1950,남,주간,경상북도,고등학교,공립
A000020611,성창여자고등학교,1980,여,주간,경상북도,고등학교,사립
A000020612,성희여자고등학교,1984,여,주간,경상북도,고등학교,사립
A000020613,세명고등학교,1984,남여공학,주간,경상북도,고등학교,사립
A000020614,세화고등학교,1986,남여공학,주간,경상북도,고등학교,사립
A000020615,수비고등학교,1983,남여공학,주간,경상북도,고등학교,공립
A000020616,순심고등학교,1952,남,주간,경상북도,고등학교,사립
A000020617,순심여자고등학교,1974,여,주간,경상북도,고등학교,사립
A000020618,신라고등학교,1982,남,주간,경상북도,고등학교,사립
A000020619,신라공업고등학교,1980,남,주간,경상북도,고등학교,사립
A000020620,경북과학기술고등학교,1972,남여공학,주간,경상북도,고등학교,공립
A000020621,경주예일고등학교,1978,남여공학,주간,경상북도,고등학교,사립
A000020622,안강전자고등학교,1960,남여공학,주간,경상북도,고등학교,공립
A000020623,안동고등학교,1951,남,주간,경상북도,고등학교,공립
A000020625,경북하이텍고등학교,1972,남여공학,주간,경상북도,고등학교,사립
A000020626,한국생명과학고등학교,1933,남여공학,주간,경상북도,고등학교,공립
A000020627,안동여자고등학교,1942,여,주간,경상북도,고등학교,공립
A000020628,안동중앙고등학교,1963,남,주간,경상북도,고등학교,사립
A000020629,약목고등학교,1973,남여공학,주간,경상북도,고등학교,공립
A000020630,영광고등학교,1954,남,주간,경상북도,고등학교,사립
A000020631,영광여자고등학교,1966,여,주간,경상북도,고등학교,사립
A000020632,영남삼육고등학교,1959,남여공학,주간,경상북도,고등학교,사립
A000020633,영덕여자고등학교,1975,여,주간,경상북도,고등학교,사립
A000020634,영덕고등학교,1936,남,주간,경상북도,고등학교,공립
A000020635,영동고등학교,1974,남,주간,경상북도,고등학교,사립
A000020636,예일메디텍고등학교,1975,남여공학,주간,경상북도,고등학교,사립
A000020637,영양고등학교,1953,남,주간,경상북도,고등학교,공립
A000020638,영양여자고등학교,1974,여,주간,경상북도,고등학교,사립
A000020639,영일고등학교,1978,남여공학,주간,경상북도,고등학교,사립
A000020640,영주고등학교,1972,남,주간,경상북도,고등학교,사립
A000020641,경북항공고등학교,1954,남여공학,주간,경상북도,고등학교,사립
A000020642,영주여자고등학교,1954,여,주간,경상북도,고등학교,공립
A000020643,영주제일고등학교,1943,남,주간,경상북도,고등학교,공립
A000020644,영천고등학교,1951,남,주간,경상북도,고등학교,공립
A000020645,영천전자고등학교,1951,남여공학,주간,경상북도,고등학교,사립
A000020646,영천여자고등학교,1961,여,주간,경상북도,고등학교,공립
A000020647,영천성남여자고등학교,1978,여,주간,경상북도,고등학교,사립
A000020648,영해고등학교,1955,남여공학,주간,경상북도,고등학교,공립
A000020649,예천여자고등학교,1955,여,주간,경상북도,고등학교,공립
A000020650,오상고등학교,1951,남여공학,주간,경상북도,고등학교,사립
A000020651,오천고등학교,1983,남여공학,주간,경상북도,고등학교,사립
A000020652,경북자연과학고등학교,1966,남여공학,주간,경상북도,고등학교,사립
A000020653,울릉고등학교,1954,남여공학,주간,경상북도,고등학교,공립
A000020654,울진고등학교,1951,남여공학,주간,경상북도,고등학교,공립
A000020655,유성여자고등학교,1975,여,주간,경상북도,고등학교,사립
A000020656,의성고등학교,1978,남,주간,경상북도,고등학교,사립
A000020657,의성유니텍고등학교,1946,남여공학,주간,경상북도,고등학교,공립
A000020658,의성여자고등학교,1952,여,주간,경상북도,고등학교,공립
A000020659,이서고등학교,1966,남여공학,주간,경상북도,고등학교,사립
A000020660,점촌고등학교,1984,남여공학,주간,경상북도,고등학교,공립
A000020661,죽변고등학교,1969,남여공학,주간,경상북도,고등학교,공립
A000020662,포항보건고등학교,1954,남여공학,주간,경상북도,고등학교,사립
A000020663,한국미래농업고등학교,1967,남여공학,주간,경상북도,고등학교,공립
A000020664,진량고등학교,1954,남여공학,주간,경상북도,고등학교,사립
A000020665,진보고등학교,1953,남여공학,주간,경상북도,고등학교,공립
A000020666,청도고등학교,1974,남여공학,주간,경상북도,고등학교,사립
A000020667,경북드론고등학교,1967,남여공학,주간,경상북도,고등학교,공립
A000020668,청송고등학교,1954,남,주간,경상북도,고등학교,공립
A000020669,청송자동차고등학교,1974,남여공학,주간,경상북도,고등학교,사립
A000020670,청송여자고등학교,1977,여,주간,경상북도,고등학교,사립
A000020671,한국산림과학고등학교,1972,남여공학,주간,경상북도,고등학교,공립
A000020672,경북기계명장고등학교,1983,남,주간,경상북도,고등학교,공립
A000020673,효청보건고등학교,1978,남여공학,주간,경상북도,고등학교,사립
A000020674,한국원자력마이스터고등학교,1967,남,주간,경상북도,고등학교,공립
A000020675,평해정보고등학교,1975,남여공학,주간,경상북도,고등학교,공립
A000020676,포항고등학교,1951,남,주간,경상북도,고등학교,공립
A000020678,포항여자고등학교,1939,여,주간,경상북도,고등학교,공립
A000020679,포항여자전자고등학교,1995,여,주간,경상북도,고등학교,공립
A000020680,포항영신고등학교,1991,남,주간,경상북도,고등학교,사립
A000020681,포항예술고등학교,1997,남여공학,주간,경상북도,고등학교,사립
A000020682,포항동성고등학교,1990,남여공학,주간,경상북도,고등학교,사립
A000020683,포항제철고등학교,1980,남여공학,주간,경상북도,고등학교,사립
A000020684,포항제철공업고등학교,1969,남,주간,경상북도,고등학교,사립
A000020685,포항중앙고등학교,1982,남,주간,경상북도,고등학교,사립
A000020686,포항중앙여자고등학교,1985,여,주간,경상북도,고등학교,사립
A000020687,풍산고등학교,1967,남여공학,주간,경상북도,고등학교,사립
A000020688,하양여자고등학교,1979,여,주간,경상북도,고등학교,사립
A000020689,한일여자고등학교,1971,여,주간,경상북도,고등학교,사립
A000020690,함창고등학교,1952,남여공학,주간,경상북도,고등학교,사립
A000020691,현서고등학교,1981,남여공학,주간,경상북도,고등학교,공립
A000020692,현일고등학교,1975,남여공학,주간,경상북도,고등학교,사립
A000020693,화령고등학교,1967,남여공학,주간,경상북도,고등학교,공립
A000020694,효령고등학교,1986,남여공학,주간,경상북도,고등학교,공립
A000020695,후포고등학교,1951,남여공학,주간,경상북도,고등학교,공립
A000020696,포항흥해공업고등학교,1993,남여공학,주간,경상북도,고등학교,공립
A000020697,경북체육중학교,1972,남여공학,주간,경상북도,중학교,공립
A000020698,경산여자중학교,1954,여,주간,경상북도,중학교,사립
A000020699,경산중학교,1946,남,주간,경상북도,중학교,공립
A000020700,대구가톨릭대학교사범대학부속무학중학교,1965,남,주간,경상북도,중학교,사립
A000020701,용성중학교,1969,남여공학,주간,경상북도,중학교,공립
A000020702,경산제일중학교,1969,여,주간,경상북도,중학교,사립
A000020703,자인중학교,1948,남,주간,경상북도,중학교,공립
A000020704,장산중학교,1994,남여공학,주간,경상북도,중학교,공립
A000020705,진량중학교,1954,남여공학,주간,경상북도,중학교,사립
A000020706,하양여자중학교,1952,여,주간,경상북도,중학교,사립
A000020707,경산동부초등학교,1992,남여공학,주간,경상북도,초등학교,공립
A000020708,경산서부초등학교,1997,남여공학,주간,경상북도,초등학교,공립
A000020709,경산중앙초등학교,1945,남여공학,주간,경상북도,초등학교,공립
A000020710,경산초등학교,1911,남여공학,주간,경상북도,초등학교,공립
A000020711,계당초등학교,1960,남여공학,주간,경상북도,초등학교,공립
A000020712,금락초등학교,1997,남여공학,주간,경상북도,초등학교,공립
A000020713,남산초등학교,1929,남여공학,주간,경상북도,초등학교,공립
A000020714,남성초등학교,1945,남여공학,주간,경상북도,초등학교,공립
A000020715,남천초등학교,1932,남여공학,주간,경상북도,초등학교,공립
A000020716,다문초등학교,1943,남여공학,주간,경상북도,초등학교,공립
A000020717,대동초등학교,1944,남여공학,주간,경상북도,초등학교,공립
A000020718,부림초등학교,1943,남여공학,주간,경상북도,초등학교,공립
A000020719,경산압량초등학교,1928,남여공학,주간,경상북도,초등학교,공립
A000020720,와촌초등학교,1937,남여공학,주간,경상북도,초등학교,공립
A000020721,용성초등학교,1922,남여공학,주간,경상북도,초등학교,공립
A000020722,임당초등학교,1945,남여공학,주간,경상북도,초등학교,공립
A000020723,자인초등학교,1911,남여공학,주간,경상북도,초등학교,공립
A000020724,장산초등학교,1993,남여공학,주간,경상북도,초등학교,공립
A000020725,정평초등학교,2001,남여공학,주간,경상북도,초등학교,공립
A000020726,진량초등학교,1923,남여공학,주간,경상북도,초등학교,공립
A000020727,진성초등학교,1964,남여공학,주간,경상북도,초등학교,공립
A000020728,청천초등학교,1947,남여공학,주간,경상북도,초등학교,공립
