학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000010036,의랑초등학교,1947,남여공학,주간,세종특별자치시,초등학교,공립
A000010037,장기초등학교,1930,남여공학,주간,세종특별자치시,초등학교,공립
A000010038,감성초등학교,1945,남여공학,주간,세종특별자치시,초등학교,공립
A000010039,금남초등학교,1920,남여공학,주간,세종특별자치시,초등학교,공립
A000010040,소정초등학교,1937,남여공학,주간,세종특별자치시,초등학교,공립
A000010041,수왕초등학교,1970,남여공학,주간,세종특별자치시,초등학교,공립
A000010042,쌍류초등학교,1934,남여공학,주간,세종특별자치시,초등학교,공립
A000010043,연남초등학교,1908,남여공학,주간,세종특별자치시,초등학교,공립
A000010044,연동초등학교,1925,남여공학,주간,세종특별자치시,초등학교,공립
A000010045,연봉초등학교,1946,남여공학,주간,세종특별자치시,초등학교,공립
A000010046,연서초등학교,1935,남여공학,주간,세종특별자치시,초등학교,공립
A000010047,전동초등학교,1935,남여공학,주간,세종특별자치시,초등학교,공립
A000010048,전의초등학교,1912,남여공학,주간,세종특별자치시,초등학교,공립
A000010049,조치원교동초등학교,1945,남여공학,주간,세종특별자치시,초등학교,공립
A000010050,조치원대동초등학교,1915,남여공학,주간,세종특별자치시,초등학교,공립
A000010051,조치원명동초등학교,1940,남여공학,주간,세종특별자치시,초등학교,공립
A000010052,조치원신봉초등학교,1972,남여공학,주간,세종특별자치시,초등학교,공립
A000010053,세종도원초등학교,2009,남여공학,주간,세종특별자치시,초등학교,공립
A000010054,참샘초등학교,2012,남여공학,주간,세종특별자치시,초등학교,공립
A000010055,장기중학교,1969,남여공학,주간,세종특별자치시,중학교,공립
A000010056,금호중학교,1952,남여공학,주간,세종특별자치시,중학교,공립
A000010057,연동중학교,1970,남여공학,주간,세종특별자치시,중학교,공립
A000010058,연서중학교,1971,남여공학,주간,세종특별자치시,중학교,공립
A000010059,전의중학교,1954,남여공학,주간,세종특별자치시,중학교,공립
A000010060,세종중학교,1927,남여공학,주간,세종특별자치시,중학교,공립
A000010061,조치원중학교,1951,남여공학,주간,세종특별자치시,중학교,공립
A000010062,한솔중학교,2012,남여공학,주간,세종특별자치시,중학교,공립
A000010063,세종대성고등학교,1966,남여공학,주간,세종특별자치시,고등학교,사립
A000010064,세종여자고등학교,1951,여,주간,세종특별자치시,고등학교,공립
A000010065,한솔고등학교,2012,남여공학,주간,세종특별자치시,고등학교,공립
A000010066,세종미래고등학교,1958,남여공학,주간,세종특별자치시,고등학교,공립
