학교코드,학교명,설립년도,남녀공학구분명,주야구분명,우편번호시도명,학교종류구분명,설립구분명
A000009560,문수고등학교,2002,남여공학,주간,울산광역시,고등학교,공립
A000009561,남창고등학교,1954,남여공학,주간,울산광역시,고등학교,공립
A000009562,울산동천고등학교,1998,남여공학,주간,울산광역시,고등학교,공립
A000009563,대송고등학교,1998,남여공학,주간,울산광역시,고등학교,공립
A000009564,무룡고등학교,1998,남여공학,주간,울산광역시,고등학교,공립
A000009565,방어진고등학교,1992,남여공학,주간,울산광역시,고등학교,공립
A000009566,삼일여자고등학교,1989,여,주간,울산광역시,고등학교,사립
A000009567,성광여자고등학교,1951,여,주간,울산광역시,고등학교,사립
A000009568,성신고등학교,1987,남여공학,주간,울산광역시,고등학교,사립
A000009569,신정고등학교,1973,남,주간,울산광역시,고등학교,공립
A000009570,우신고등학교,1988,남여공학,주간,울산광역시,고등학교,사립
A000009571,울산기술공업고등학교,1978,남여공학,주간,울산광역시,고등학교,사립
A000009572,울산경의고등학교,1953,남여공학,주간,울산광역시,고등학교,사립
A000009573,울산고등학교,1954,남,주간,울산광역시,고등학교,사립
A000009574,울산공업고등학교,1937,남여공학,주간,울산광역시,고등학교,공립
A000009575,울산상업고등학교,1983,남,주간,울산광역시,고등학교,공립
A000009576,울산생활과학고등학교,1995,남여공학,주간,울산광역시,고등학교,공립
A000009577,울산미용예술고등학교,1967,남여공학,주간,울산광역시,고등학교,공립
A000009578,울산여자고등학교,1952,여,주간,울산광역시,고등학교,공립
A000009579,울산여자상업고등학교,1962,여,주간,울산광역시,고등학교,공립
A000009580,울산예술고등학교,1993,남여공학,주간,울산광역시,고등학교,사립
A000009581,울산마이스터고등학교,1996,남,주간,울산광역시,고등학교,공립
A000009582,울산제일고등학교,1987,남,주간,울산광역시,고등학교,사립
A000009583,울산중앙고등학교,1980,남여공학,주간,울산광역시,고등학교,공립
A000009584,울산중앙여자고등학교,1979,여,주간,울산광역시,고등학교,공립
A000009585,울산에너지고등학교,1994,남여공학,주간,울산광역시,고등학교,공립
A000009586,학성고등학교,1968,남,주간,울산광역시,고등학교,공립
A000009588,학성여자고등학교,1983,여,주간,울산광역시,고등학교,공립
A000009589,현대고등학교,1984,남여공학,주간,울산광역시,고등학교,사립
A000009590,현대공업고등학교,1977,남여공학,주간,울산광역시,고등학교,사립
A000009591,현대청운고등학교,1981,남여공학,주간,울산광역시,고등학교,사립
A000009592,세인고등학교,1988,남,주간,울산광역시,고등학교,사립
A000009593,화암고등학교,2002,남여공학,주간,울산광역시,고등학교,공립
A000009594,효정고등학교,1999,남여공학,주간,울산광역시,고등학교,공립
A000009595,남창중학교,1952,남여공학,주간,울산광역시,중학교,공립
A000009596,대현중학교,1990,남여공학,주간,울산광역시,중학교,공립
A000009597,동평중학교,1994,남여공학,주간,울산광역시,중학교,공립
A000009598,두광중학교,1953,남여공학,주간,울산광역시,중학교,공립
A000009599,범서중학교,1970,남여공학,주간,울산광역시,중학교,공립
A000009600,삼호중학교,1991,남여공학,주간,울산광역시,중학교,공립
A000009601,상북중학교,1953,남여공학,주간,울산광역시,중학교,공립
A000009602,서생중학교,1952,남여공학,주간,울산광역시,중학교,공립
A000009603,신일중학교,1985,남여공학,주간,울산광역시,중학교,공립
A000009604,신정중학교,1987,남여공학,주간,울산광역시,중학교,공립
A000009605,신언중학교,1966,남여공학,주간,울산광역시,중학교,공립
A000009606,언양중학교,1926,남여공학,주간,울산광역시,중학교,공립
A000009607,옥동중학교,1992,남여공학,주간,울산광역시,중학교,공립
A000009608,옥현중학교,2002,남여공학,주간,울산광역시,중학교,공립
A000009609,온산중학교,1966,남여공학,주간,울산광역시,중학교,공립
A000009610,울산서여자중학교,1984,여,주간,울산광역시,중학교,공립
A000009611,월평중학교,1975,남여공학,주간,울산광역시,중학교,공립
A000009612,울산중앙중학교,1980,남여공학,주간,울산광역시,중학교,공립
A000009613,웅촌중학교,1954,남여공학,주간,울산광역시,중학교,공립
A000009614,청량중학교,1954,남여공학,주간,울산광역시,중학교,공립
